 	deve	essere	bianco	</S>
è	0.982185642	0.0133921249	0.0025615722616	0.0018606811544
n	0.84054206	0.12892741226	0.010945203834	0.019585278214
a	0.694998035	0.2390500214	0.01140410672	0.0545478567448
è	0.320890414	0.630364794	0.04208264692	0.00666215064
n	0.23545583174	0.666836708	0.0563914815	0.04131598214
e	0.03191301904	0.772348552	0.1105144004	0.0852240118
à	0.11423109046	0.50338858	0.2546266112	0.127753714
s	0.095626153	0.1426420632	0.4583012008	0.30343057
p	0.0145685497892	0.1959056162	0.6591301088	0.1303957286
r	0.141320637406	0.064327560726	0.73478985	0.0595620048
o	0.0338736905921	0.005810878834	0.828746636	0.1315688245
</S>	0.029767725111	0.031282777786	0.325785134	0.613164366
