 	ora	io	sto	studiando	di	di	imparare	di	diventare	maestra	</S>
à	0.98327377	0.013469558404	0.0012281181861	0.00117120553076	0.000164920444328	7.4685927692e-05	8.6230535206e-05	7.05342540214e-05	0.0001321535886	0.000126510931757	0.000202305986131
r	0.8984912	0.0871471738	0.00367412088542	0.00295928659842	0.00326674689806	0.00210101712868	0.00096430756432	0.000628812973162	0.000415347636732	2.39252936537e-05	0.000328083113805
t	0.523829962	0.1543087212	0.2643788896	0.013010245097	0.0039168603666	0.00201639079438	0.00282190061508	0.000541436878915	0.00099584454702	0.000266199315075	0.0339135492436
e	0.320631837	0.411429948	0.1034151882	0.0314209571568	0.0162868714422	0.0099197063759	0.0113643544365	0.00722477130388	0.0796746811202	0.00791881651613	0.00071289512981
n	0.0706065564	0.74156511	0.16231835846	0.015901145352	0.0011083936328	0.000325151661	0.004550101414	0.000508005236508	0.00286429776311	0.000209373234603	4.35122562168e-05
a	0.1513551876	0.641292794	0.1828080318	0.00839530544	0.0048923839908	0.00168194959572	0.00260510336964	0.000393564769076	0.00188330373455	0.00033396927805	0.00435840170503
i	0.007414409912	0.751713978	0.1942004206	0.0365186596	0.0022341563444	0.00039580689598	0.00523523546296	0.000386624183862	0.00173179810564	9.36526635006e-05	7.5263459934e-05
v	0.00669686124	0.730458872	0.1957748186	0.04296003946	0.007862622551	0.0025367792268	0.0040747441374	0.00160274531825	0.00517578538062	0.00113558693536	0.00172118114843
ò	0.009485395952	0.413827787	0.528028171	0.0376053058	0.0071077167	0.00125433294	0.00158726081	0.0002937978972	0.0002948803416	0.0001739481986	0.00034135306606
s	0.00462072386	0.190209424	0.63848389	0.135151998	0.02151041392	0.00310809020568	0.0042830639934	0.000670951818252	0.00115760734633	0.000540787814496	0.000263041996477
t	0.002081315888	0.12934058348	0.71942966	0.1144418044	0.01227132914	0.00376745621	0.004107871446	0.0008307036308	0.00315717517682	0.00089472355224	0.00967738789477
e	0.007357300258	0.0218076887	0.723680016	0.1304620564	0.0563933025	0.0209201952592	0.0077137092226	0.00757862358092	0.0071107013655	0.0130623982895	0.00391397986816
