 	entrò	da	qui	</S>
m	0.993053916	0.0039388343838	0.00219358335986	0.000813694313
b	0.889722248	0.02998641464	0.07305186334	0.0072394851856
ì	0.665028786	0.1283200534	0.187318493222	0.01933266652
k	0.1976328058	0.72988417	0.0479572464	0.024525740254
e	0.324311342	0.27691257	0.2773971548	0.12137891082
a	0.066776875648	0.568185228	0.29794123826	0.0670966384
p	0.0257980745	0.2767454676	0.6031575872	0.0942988498
ò	0.010157631894	0.23210578832	0.527476006	0.230260591664
t	0.005177675734	0.2051924788	0.6216014594	0.168028423274
t	0.003065092286	0.0379930808	0.837612578	0.1213292518
u	0.0436027756832	0.011143372428	0.736398874	0.208854981192
</S>	0.049155288664	0.08968643257	0.2464300768	0.6147282008
