 	è	che	stanno	ancora	svegli	</S>
è	0.94315108	0.04885129406	0.007320565138	0.00027659173934	0.00010261946896	0.00029778212422
n	0.4895580672	0.3009894392	0.07154490732	0.022787261801	0.0566564381487	0.0584638552705
a	0.381265014	0.310057918	0.19941642592	0.00863811264	0.006599379926	0.0940231413175
s	0.06315311616	0.49932673	0.410338945	0.02050025634	0.005210974956	0.0014699871832
t	0.020940269032	0.486442578	0.456948456	0.01135280246	0.0030286247038	0.0212872983146
a	0.007003412934	0.4806711106	0.501218299	0.00869017722	0.0017876092272	0.00062941170432
t	0.012891824796	0.1500405246	0.7421783	0.06516342218	0.0069231637068	0.0228027791032
ù	0.0250437629248	0.123575504	0.73415848	0.090950249	0.012845056368	0.01342695726
n	0.02119834986	0.0300986692	0.614554904	0.2905393036	0.025924424614	0.0176843184726
e	0.098278796116	0.0616752178	0.65221827	0.155009451	0.01113754554	0.0216807678364
a	0.0319431919	0.02547764292	0.1984410042	0.570443286	0.162293177898	0.0114016596
n	0.0135584156192	0.011029188174	0.05066536782	0.621390334	0.2816584076	0.02169831703
k	0.0322768733486	0.01143270294	0.0204021154	0.4449840989	0.30354752492	0.18735665824
ò	0.089376736157	0.13217349179	0.15614150594	0.222610496	0.2328880663	0.1668097031
r	0.020339970282	0.006596125866	0.008932604498	0.6207605	0.3100390752	0.0333317425
a	0.0118540985485	0.00746845004	0.02138020974	0.619493888	0.2698756	0.06992774104
a	0.04591258662	0.014573847048	0.035787818024	0.3210502524	0.4327262454	0.14994927
t	0.0295693974304	0.0163520221954	0.012414550215	0.0466307214	0.686566256	0.208467058
s	0.0332830112448	0.008028182696	0.005282692542	0.0685261566	0.653336892	0.2315430774
ù	0.0326024507767	0.0406872698273	0.0357657714265	0.1783870424	0.2400633142	0.4724941748
n	0.0154962560088	0.0198471298586	0.0271517243022	0.13401033616	0.554062454	0.249432063
n	0.0244765811753	0.0104261017562	0.004358040815	0.0541037136	0.63154375388	0.2750917939
i	0.0911248053314	0.0926512369534	0.0318280836726	0.1007709332	0.3586290132	0.3249959178
t	0.0146988469953	0.0158411370707	0.0660718782186	0.10384400168	0.3160939908	0.48345011
i	0.0926238148242	0.0576337340673	0.0217774154082	0.02193779812	0.48092045676	0.3251067712
</S>	0.078607003604	0.0507870495602	0.0752091003042	0.0757733897032	0.0303051938	0.6893183064
