 	vuole	pianto	</S>
i	0.966876762	0.02641909193	0.00670414028
t	0.962316058	0.030236984808	0.00744699924
è	0.960454048	0.01753920628	0.022006716
l	0.944804184	0.04884976976	0.006346062294
i	0.685436074	0.2524933314	0.062070619482
k	0.4066099855	0.39322553354	0.2001644754
l	0.19059984112	0.669559558	0.13984065124
a	0.1203643242	0.5844001166	0.29523554566
m	0.0409335133	0.5480333488	0.411033163
m	0.03255436588	0.702566062	0.264879594
è	0.091561101012	0.52923519078	0.3792037088
n	0.101820682588	0.2226663616	0.675512974
o	0.217140264956	0.368279948	0.414579782
</S>	0.149841546028	0.06755902436	0.7825994166
