 	voglio	che	Maria	venga	domani	</S>
i	0.98647769	0.00821006472	0.003081966134	0.0003128545398	0.00170247259219	0.0002149101458
t	0.91307354	0.07142387876	0.01259423716	0.00100445326092	0.0008125513481	0.0010913042684
è	0.55981263	0.2123679308	0.15857441464	0.0356862559736	0.0253857165408	0.00817308676
l	0.656266886	0.299570347	0.0413937522	0.000486222482	0.0014508253302	0.00083194782392
o	0.4200813248	0.408291544	0.146049484	0.009446261322	0.005566069898	0.0105653357026
n	0.0547318928	0.81253847	0.10675829068	0.01644008116	0.005668017084	0.0038631972868
a	0.01068732762	0.473753604	0.47324472	0.02700719662	0.01116536058	0.0041417428296
r	0.04464374124	0.469636376	0.3743171558	0.0737698664	0.0133860193674	0.024246857682
t	0.01218093154	0.1919964586	0.471149602	0.1677788102	0.07068442616	0.08620980412
i	0.21654937202	0.2270566574	0.1860874284	0.0986408328	0.148615874768	0.12304983878
à	0.02933990802	0.18759799826	0.261750122	0.39584194	0.055967337	0.0695026796
v	0.0041910645	0.028919787584	0.200478283	0.460734266	0.2794145068	0.0262621126
v	0.00120577522794	0.0180072537236	0.1850132847	0.139850263	0.644495196	0.01142819496
r	0.0242146082	0.16021179487	0.01076913264	0.1000740672	0.461226756	0.243503652296
i	0.124156830224	0.25906297026	0.01621322076	0.1219094346	0.20672025848	0.27193726558
i	0.0451424721	0.16162250078	0.01044330898	0.17905948112	0.2261701682	0.3775620928
M	0.010372901712	0.0438132556768	0.034683294718	0.1092737078	0.688762262	0.1130945974
a	0.001896664929	0.025579847112	0.011920579438	0.0863201618	0.4944688264	0.3798139168
r	0.024114440212	0.162517783446	0.036087684792	0.1656619519	0.402118589	0.209499555
ì	0.0079966368376	0.0493085921654	0.059859667136	0.03810382968	0.439228584	0.40550266906
a	0.18380778977	0.12834283924	0.0082428961604	0.1650659529	0.34026361982	0.174276922
</S>	0.115769520701	0.011003801446	0.0165266951253	0.06388425432	0.51989844492	0.2729173056
