 	stava	ancora	cucinando	</S>
ì	0.994866926	0.003145497134	0.0005616445369	0.00142589272
s	0.850497172	0.10776613616	0.0212311733718	0.0205055119327
t	0.871157802	0.05228905666	0.053204636368	0.0233484679235
i	0.883707938	0.07384799442	0.0363134740653	0.00613056724614
g	0.68559887	0.2747551212	0.005902019756	0.033743971808
g	0.413070082	0.544382487	0.03653265766	0.006014741811
h	0.453453796	0.472083192	0.048132006694	0.0263310003686
e	0.4087419782	0.478921158	0.06641901358	0.045917861626
a	0.1716892644	0.734615682	0.0669565388	0.0267384848
n	0.03556514584	0.71459845	0.2204822036	0.0293542013
k	0.01056810958	0.5307166632	0.4012104881	0.057504717
ò	0.050700313944	0.358570693	0.398505756	0.19222324932
r	0.07568066614	0.2780028708	0.51305594	0.1332604937
a	0.002993154382	0.6375917192	0.3228765056	0.03653860142
m	0.04358018132	0.06601222884	0.5805241	0.3098834878
a	0.002436345847	0.22558397628	0.6342915432	0.1376881412
r	0.0218638179168	0.034647207648	0.776307942	0.16718103512
è	0.001668944986	0.01336652654	0.710790872	0.274173668
o	0.005608916278	0.005185363294	0.87923742	0.1099682788
n	0.028737977312	0.027558789128	0.445965932	0.4977372856
t	0.124403088321	0.014696399028	0.630797862	0.2301026638
a	0.0089310809355	0.035816550326	0.6758026872	0.2794496668
</S>	0.0205114796568	0.013030037444	0.2219611084	0.744497385
