 	è	che	è	entrato	da	qui	</S>
è	0.93939668	0.049179294	0.00552468376	0.0049717048034	0.00055068739984	0.00019172883274	0.00018518891312
n	0.404993084	0.379691632	0.06118850874	0.09424585112	0.016256053068	0.004899746219	0.0387251624876
a	0.322052944	0.353081152	0.05121842386	0.1180621755	0.00689202474	0.0748792323	0.0738140390372
m	0.029090119	0.337255202	0.399455166	0.1928840849	0.02669287112	0.0123581448364	0.002264371726
b	0.011915146	0.1216127905	0.2112004144	0.569123742	0.01873933643	0.05790537916	0.009503198584
ì	0.01323474874	0.0665009998	0.15092040392	0.720027472	0.02170486318	0.025224189422	0.0023873735734
k	0.01962614404	0.0846326304	0.481031148	0.1310319208	0.24223863684	0.0183586771724	0.0230808173618
e	0.0378067095136	0.025133851	0.1512232418	0.661561752	0.0442780978	0.0506918761	0.02930449432
a	0.04771963356	0.09780765004	0.1576563615	0.1254486032	0.412227482	0.12297054434	0.03616971456
p	0.02875613426	0.01504779438	0.041767339	0.1473783908	0.433858972	0.2805893566	0.0526020328
ò	0.0758962079214	0.011233266372	0.01732857426	0.1110052158	0.4128874956	0.2740830524	0.09756619424
t	0.006865941826	0.004871047	0.00582878216	0.006826489968	0.3188999656	0.45196216608	0.2047455966
t	0.01441938428	0.00582802991	0.013606877182	0.043596246	0.33773959	0.514664484	0.07014539334
u	0.0168446709124	0.0111910786472	0.0139574216737	0.027701001168	0.10837028684	0.517347606	0.30458794328
</S>	0.01314931988	0.008576113048	0.017562156066	0.015126469188	0.06485081034	0.4282987328	0.4524364116
