 	io	non	ho	niente	da	mangiare	</S>
e	0.894147294	0.0995836828	0.00488390804	0.0009460660768	0.000120592462932	7.6097996074e-05	0.00024230363856
v	0.958608086	0.03221975448	0.003717870116	0.0019723085232	0.0003754973764	0.00092722461232	0.0021792013048
ò	0.6841333866	0.11222418142	0.17283950808	0.018531888992	0.000973774566	0.0051280053304	0.0061692570872
e	0.3454140894	0.5648714188	0.06182554448	0.02408650454	0.00083699654	0.0008877586452	0.0020777476992
n	0.1027188032	0.4451587108	0.2416295844	0.0709189394	0.019403816316	0.020880720696	0.099289400073
è	0.03907294	0.12215814784	0.51766164672	0.0485661804	0.005527419308	0.20860921671	0.058404396432
c	0.0345286163	0.1434438422	0.3364291826	0.469183055	0.01138457848	0.0035598494316	0.0014708460678
h	0.04674861192	0.029670769	0.40385717114	0.243809684	0.01346475862	0.21183561328	0.0506133925174
o	0.01902337911	0.01208055602	0.247914834	0.681738362	0.02507938674	0.011187749298	0.0029757611096
t	0.00774506682	0.01901918012	0.0315415134	0.827209134	0.0952658142	0.01051244202	0.00870681194
ì	0.001663608212	0.00481227756	0.0311450904	0.69761185	0.12987426834	0.0953628076	0.039530076704
p	0.010730863894	0.0093294299	0.01864764926	0.5052949764	0.37925857	0.0543959284	0.022342590532
o	0.0004306679406	0.002098385896	0.004453362766	0.522812384	0.266024731	0.16803281072	0.03614765377
t	0.01006065706	0.0126730834	0.01368015744	0.1882180608	0.507466612	0.1871685048	0.080732979
i	0.00168178587373	0.0046789535812	0.008732079646	0.1756949264	0.357203604	0.319340675	0.13266796768
n	0.006718883184	0.011101531432	0.014336294442	0.033707146896	0.367401052	0.435579926	0.1311551978
a	0.0043328117654	0.0059911689716	0.0091728445448	0.044650504768	0.2760854112	0.449127392	0.21063988288
f	0.009960971504	0.010227411754	0.011001046209	0.007173531314	0.1545061146	0.681617244	0.12551367672
à	0.00163542925914	0.00329564892744	0.0067093996784	0.0258256478	0.1086847792	0.559401804	0.29444728346
o	0.0060456694294	0.0057569103292	0.0054219666712	0.0017742403916	0.04189042726	0.835232848	0.1038779226
</S>	0.045841495176	0.04036112501	0.018469041688	0.022743053528	0.0573753287	0.32997766	0.4852322874
