 	vuole	vuole	mangiato	caldo	</S>
t	0.99202109	0.005928879846	0.0008864823842	0.000247466649	0.00091601356352
è	0.940061432	0.0369723026	0.002266953454	0.00124862766448	0.0194506413389
l	0.908949846	0.0845299822	0.004846882364	0.0003723588778	0.0013009268394
i	0.79904269	0.171289336	0.01397544156	0.00489050792218	0.0108020185174
t	0.188167296	0.666475614	0.1332279588	0.00889818285	0.003230947112
è	0.0823950866	0.865117328	0.035570205	0.0024717509608	0.014445553663
l	0.0206277547	0.89700769	0.0764891938	0.0036576938864	0.0022177015332
i	0.0342401028	0.794774556	0.108141224	0.036163921242	0.0266802003671
f	0.03804013456	0.27168079	0.61192147	0.04971320654	0.02864437334
a	0.01533776246	0.415746584	0.499460474	0.04286199974	0.02659311074
m	0.00957849034	0.047768251	0.843714074	0.06827535188	0.03066382958
è	0.00592887938	0.09407343112	0.620748874	0.1851136128	0.0941352492
n	0.008097809412	0.0177071667	0.80500168	0.1199897358	0.04920358854
o	0.076301559684	0.0495419936	0.388946604	0.301899718	0.183310139
t	0.03725391372	0.024569194254	0.1402062988	0.559067782	0.2389028052
r	0.0465337635924	0.010189133158	0.136853832	0.620393824	0.18602947
e	0.0021421892772	0.00998887049984	0.10813439574	0.593603588	0.2861309648
m	0.00191749482	0.005113876747	0.05766220606	0.654351968	0.280954457
m	0.001516893364	0.001902599904	0.01963345732	0.756858624	0.2200884568
ò	0.0032359338314	0.00457292629	0.019698859732	0.7010472632	0.27144499134
</S>	0.020230894	0.01811838908	0.03405989298	0.3363302654	0.5912605564
