 	che	consuma	poco	benzina	</S>
n	0.99173227	0.006265345496	0.0008982762748	0.000369688683	0.00073439950804
a	0.83484915	0.03939388652	0.052852230657	0.0295386040693	0.0433661734883
k	0.538513908	0.4460243288	0.0145200907	0.0002521177766	0.00068953125912
o	0.369191812	0.504482414	0.0425110854	0.06839464817	0.01542004727
n	0.2051007614	0.6772973908	0.0794597418	0.0020150068244	0.0361271048561
s	0.1817845872	0.6526970926	0.0692180354	0.074683417924	0.02161683926
u	0.0731297256	0.6258201868	0.273968408	0.02183742198	0.0052442590042
m	0.09052155156	0.596715228	0.283209466	0.019655966386	0.009897785996
è	0.04350345292	0.69638757946	0.133148548	0.1016821131	0.02527830446
t	0.017408604612	0.4205689764	0.54265399	0.008704285764	0.010664186627
s	0.011700685356	0.54076733986	0.215568986	0.14085193266	0.091111037268
i	0.03568369134	0.516144156	0.32923734	0.0868822776	0.032052492404
a	0.0171987597	0.0653285476	0.6807171	0.18494053226	0.0518150446
l	0.0136194818	0.00977910632	0.6562217508	0.264086781	0.05629288864
ì	0.0093500157952	0.01458023792	0.4138352566	0.4645078214	0.0977266946
o	0.044270855332	0.02855518408	0.513022358	0.369483752	0.04466784692
b	0.0040610074	0.002957309282	0.0946777216	0.739915798	0.1583881636
e	0.0089067281584	0.00267194769	0.1773794838	0.67387102	0.1371708324
n	0.028236348967	0.01236238152	0.10794722018	0.597233006	0.25422105988
z	0.01452356415	0.005825133334	0.04993497972	0.690902938	0.2388133992
ì	0.0103763432227	0.011279893509	0.028914805068	0.588635598	0.3607933358
n	0.009379182448	0.002007535954	0.01059810042	0.540045482	0.4379696648
a	0.00713929126	0.008198785824	0.03325176528	0.717513674	0.233896505
</S>	0.06385302302	0.04957078808	0.0619253054	0.1429816668	0.6816692048
