 	volevo	Maria	domani	di	venire	da	me	</S>
ì	0.994543612	0.003179387724	0.00147552205998	0.00012745048632	9.315105846e-05	8.561178248e-05	0.000141714952247	0.000353533847556
t	0.868204854	0.085261948892	0.026185476674	0.00522067585698	0.00589488572614	0.00220788303642	0.000819902862734	0.00620433293239
e	0.869870232	0.1017885124	0.02335392447	0.00089271973	0.0003730104621	0.00015408015117	0.000223153964606	0.00334437947389
l	0.536647909	0.43336278	0.010317113766	0.0033338426092	0.0053032955364	0.0053159170766	0.00460294791382	0.00111615078697
a	0.0900983904	0.836841938	0.04847607676	0.019861054588	0.001485685602	0.00099750285108	0.0009579572982	0.00128140992169
e	0.3011609336	0.629365376	0.029000278894	0.007117667492	0.013165790576	0.0093859948095	0.0051562752224	0.00564767935463
M	0.02128414498	0.672705222	0.284501503	0.01335609933	0.006145766368	0.00136698064146	8.23403838144e-05	0.000557932277676
a	0.052277267308	0.60924252	0.1938675896	0.1283304617	0.00785299702	0.003657527034	0.0035975858914	0.00117402944696
r	0.20603659364	0.56126829	0.043927732	0.045188964	0.01326403441	0.0190563546851	0.0143574528198	0.0969005446307
ì	0.087140582616	0.2462295686	0.2278155352	0.3736985714	0.04012227088	0.016399576514	0.0063269670428	0.0022669369234
a	0.20568050894	0.23207189834	0.2001155785	0.313277756	0.03238356272	0.013839433	0.0019588510336	0.00067241604006
à	0.1231298572	0.04874935689	0.4672661194	0.2496128916	0.0906299198	0.01555527054	0.00230420773	0.002752362078
v	0.008302374974	0.01558695941	0.4867809142	0.255654464	0.2134783288	0.01642534456	0.001095736552	0.0026758654636
v	0.00143975482826	0.028560425168	0.563290582	0.1077701652	0.2727031844	0.01324166286	0.01086442936	0.0021298243854
r	0.037683240506	0.081026835186	0.1600323674	0.364683498	0.1755986388	0.07614778218	0.03947655286	0.0653510726742
i	0.191504287393	0.060304903354	0.0586540346	0.499028838	0.0740290594	0.03170796014	0.04881982346	0.035951125264
n	0.04010817834	0.005757217974	0.0072881804	0.2586099188	0.2286804312	0.427426832	0.01701174644	0.0151174724
a	0.0168061646727	0.027310432303	0.2733796784	0.1421684108	0.325251622	0.1214342136	0.0580018882	0.035647605794
r	0.03048964831	0.00221803247	0.0037947968972	0.072399591	0.2787531561	0.493940326	0.0933298805	0.02507459996
t	0.0124614642064	0.0089661725026	0.084827461052	0.0906620204	0.1650211548	0.321225972	0.222426704	0.0944090508
i	0.138003420989	0.0092302419763	0.003707446648	0.05390110654	0.130108064	0.312022654	0.2043360824	0.1486909851
s	0.0067024284708	0.0017790158514	0.003408557446	0.04353341538	0.1141876838	0.454769994	0.172824634	0.202794298
e	0.0229572938853	0.00635840954288	0.016096064152	0.02255347424	0.0619846186	0.261743824	0.448354816	0.1599515156
m	0.00692253997	0.00097580503466	0.0013496345484	0.01595317314	0.039394740114	0.29202683	0.513544662	0.1298326596
è	0.0195459907364	0.0027626567355	0.0045587998768	0.0112400106	0.03761139574	0.1337301408	0.563946088	0.2266049352
n	0.009267603938	0.000546859663	0.00054209154106	0.00564291644	0.0162854613388	0.1017556494	0.736765556	0.129193845
a	0.014155766202	0.005643768631	0.0063283417892	0.00332905712	0.01100957464	0.04613089105	0.639231326	0.2741712586
</S>	0.01505300454	0.001369067194	0.0012157525168	0.052522540976	0.0373128143993	0.069512533532	0.352546582	0.4704677028
