 	il	morto	si	piange	</S>
o	0.987113572	0.008229975972	0.0024139989006	0.00204150040524	0.00020098891108
a	0.785941736	0.1303931009	0.02297105404	0.033514893215	0.027179270356
p	0.5264416284	0.432202982	0.0081140727	0.012015790646	0.0212255135843
e	0.26593371036	0.671007484	0.01655275296	0.028639364628	0.0178666933168
t	0.2311318698	0.689088774	0.065508333	0.008659396448	0.0056115989408
a	0.04234721777	0.86714253	0.06009968496	0.01699357368	0.013416943486
m	0.09710592842	0.727647836	0.15343098	0.01245130372	0.00936396098
m	0.0069080319	0.660463778	0.1604175054	0.13546320246	0.03674749204
è	0.094478338012	0.505279957	0.207913411	0.0632970294	0.129031297727
n	0.081133073074	0.29223239	0.531574972	0.0276255805	0.067434002416
o	0.00921135858	0.671076146	0.1987630922	0.0904203196	0.0305290819314
i	0.230401148898	0.05183263004	0.360213362	0.2143756676	0.143177152
k	0.02588553756	0.06311686134	0.35330775	0.2725097492	0.285180118
l	0.00230699238	0.01106266184	0.28987362454	0.577587394	0.1191693424
è	0.0210297020167	0.0349502794212	0.1027878379	0.446620358	0.394611811608
e	0.014253081724	0.009043460668	0.1041265536	0.664277386	0.2082995292
t	0.0146322654	0.066642145	0.12965326358	0.3300967214	0.4589755992
e	0.0028203004774	0.011559225202	0.06350687524	0.80470168	0.1174119184
</S>	0.014991084634	0.020470579912	0.13548215562	0.3573091774	0.4717469998
