 	che	non	li	aspettiamo	</S>
n	0.956646872	0.04064879592	0.001839541276	0.0002947051186	0.000570148141
a	0.78881841	0.04142474168	0.04539969674	0.0643864030542	0.0599707723152
m	0.243299534	0.4392915132	0.2659624448	0.04169984886	0.0097466973392
i	0.290004649	0.1819824534	0.314613758	0.12304476734	0.09035438694
t	0.0231924588	0.16062501034	0.644954426	0.1343045312	0.03692355594
u	0.29500105574	0.1211655352	0.3472494188	0.1884069522	0.04817701676
s	0.0140250801	0.0413966924	0.692862308	0.1944863954	0.0572295008
m	0.15957931322	0.1202139132	0.2401738062	0.3393773624	0.1406556042
ì	0.032157153826	0.01931579968	0.5629811528	0.1887500172	0.196795892388
n	0.014238254194	0.0400529962	0.356542446	0.401024368	0.1881419484
o	0.1577666718	0.02469810814	0.47251665	0.2279329354	0.11708562062
m	0.05973872976	0.084793018894	0.0545954342	0.536431108	0.2644417004
e	0.028418889134	0.00901565556	0.0523252352	0.603205184	0.3070350606
</S>	0.208105037406	0.046827339326	0.01093599398	0.254165564	0.47996606206
