 	quest'	anno	che	viene	mangio	quanti	voglio	</S>
f	0.986728528	0.01155906318	0.000370523738	0.0007876268294	9.01053695e-05	0.00016602494728	6.6574514398e-05	0.00023152557948
è	0.78903272	0.1550575148	0.003570617036	0.009777678074	0.011621376159	0.0161906598597	0.00105482177866	0.0136946232573
o	0.873225816	0.1167422408	0.003728107756	0.0039274708396	0.00105791059696	0.00023688628574	5.59108370174e-05	0.00102563983713
p	0.3366792144	0.597016128	0.03286376372	0.01090272562	0.005947825414	0.007224046224	0.00212933261174	0.0072369628086
p	0.1096894948	0.748040818	0.084003337	0.032653236496	0.002001541108	0.013349790492	0.0046853033252	0.0055764670854
ò	0.0759445008	0.70230738	0.1353356684	0.02634177666	0.01335981668	0.02486648625	0.0204345667217	0.00140978954185
r	0.067358865	0.617406466	0.236491942	0.06214742778	0.00853070502	0.005068915478	0.00220780618966	0.00078785756488
k	0.1346570092	0.255340016	0.484228552	0.04558005568	0.01378848882	0.03624369998	0.01804637292	0.0121158033026
e	0.04519020739	0.39645849	0.3435953684	0.09212304294	0.025548747	0.04165953144	0.0335272398408	0.0218973631061
t	0.01790153454	0.0965868716	0.609189166	0.1678270912	0.0551992446	0.04275768812	0.00873636000514	0.00180202067
e	0.00242352734	0.1505156373	0.547619594	0.14921886876	0.0550318175	0.04462637372	0.04214551628	0.00841866540616
e	0.0178828722	0.01811368468	0.371979292	0.332475972	0.21846589	0.02902765614	0.00446901656	0.00758561957
t	0.0150464884	0.00794985546	0.1432153908	0.404552864	0.386182598	0.02445888866	0.007073239972	0.01152067075
r	0.00134408354	0.010659581064	0.1357858318	0.415713054	0.2942714428	0.10773052854	0.01753407068	0.01696144658
ò	0.00626231492328	0.019959358176	0.17810317772	0.18695573606	0.279637452	0.2705130276	0.01723701824	0.041331920292
o	0.006447233258	0.004390695852	0.0324750043	0.1501129674	0.651282682	0.1194993554	0.02072334296	0.015068755724
p	0.008598846148	0.0080333591328	0.00581706144	0.2546164848	0.522376502	0.1044211602	0.07383639	0.02230018606
ò	0.0008852225316	0.001909359016	0.0205506168	0.1010630358	0.3147349132	0.412000338	0.0749423526	0.073914183788
s	0.00741386152	0.003299566126	0.0030026480288	0.05803110188	0.2650050334	0.336229548	0.29818761	0.02883067311
s	0.0004516141467	0.0014425342549	0.0078987457534	0.020120731102	0.157053285	0.487316396	0.2502080516	0.075508628
a	0.0171549686001	0.00762592984772	0.0097877582676	0.0200924399201	0.2239887325	0.4388863544	0.1891865294	0.09327729034
t	0.00537173314	0.00699629932	0.003093181996	0.01329519454	0.092457875392	0.2013138703	0.3692629288	0.3082089362
è	0.00197806147317	0.0025904416702	0.0084181551404	0.008279724832	0.0309958644	0.2926411176	0.520719828	0.134376786
l	0.0124814096436	0.0040735443238	0.00209445779882	0.0031637372188	0.015804030892	0.0790001962	0.730166566	0.15321609652
o	0.0002174884498	0.00046691586568	0.000895228516	0.0026354035448	0.033350984082	0.19845923512	0.666042828	0.0979318986
</S>	0.013154946594	0.010532499608	0.00988149739	0.007227961498	0.02398887301	0.03010774014	0.252853028	0.6522534368
