 	le	ragazze	vogliono	guardate	</S>
t	0.992157076	0.0052453907	0.00169839677464	0.000392202371606	0.00050688013818
a	0.820463004	0.1200865263	0.014981375176	0.0274316463451	0.0170374344148
k	0.721999528	0.268192894	0.007477049848	0.00170329942824	0.0006272461478
o	0.456330156	0.441380754	0.02579472594	0.052856605232	0.023637745576
r	0.1777400694	0.762411688	0.04237102988	0.00677355634278	0.0107036211743
à	0.0851518076	0.673298546	0.1101016914	0.09627699524	0.03517096378
s	0.05692177696	0.817837912	0.1180794306	0.00157323981	0.0055876253968
i	0.0347459169	0.5715317	0.321243113	0.045419893576	0.0270593618582
a	0.14400385456	0.436433034	0.3434134012	0.01775996916	0.058389751926
t	0.014558730088	0.0858017036	0.77569158	0.08078337094	0.043164576106
è	0.005903252934	0.03480880452	0.786616856	0.1453647094	0.0273063377
l	0.032314424804	0.04559251844	0.771035354	0.1243627178	0.02669500832
o	0.003929228296	0.01894430666	0.732968456	0.2225305296	0.021627437766
n	0.02117296828	0.02759481588	0.420166114	0.2607130748	0.2703530164
e	0.0263601572001	0.009601438368	0.498075374	0.40406603	0.06189701034
k	0.02106078888	0.018500024214	0.2830962476	0.3784532808	0.29888964
a	0.0229270415616	0.01653829507	0.2421302538	0.609064004	0.1093403628
n	0.0274121137	0.02798687812	0.12381857614	0.553084898	0.267697536
o	0.076349786563	0.0122028574028	0.06874338128	0.673049184	0.1696548248
n	0.013771627788	0.027161651676	0.06492921464	0.52170142	0.3724361132
i	0.0793708916584	0.0130138639152	0.02714244352	0.712587112	0.1678856542
m	0.010720748934	0.012902042084	0.027941390256	0.445096996	0.50333883186
m	0.0393645078376	0.017146332465	0.01167083542	0.717755674	0.214062689
è	0.0445775294102	0.0803919214019	0.033495076852	0.3390380666	0.5024974072
n	0.0497396033	0.02677506832	0.017916437474	0.45654685	0.4490220374
a	0.042900071846	0.0579458961374	0.034235337012	0.583347015	0.281571679
</S>	0.01840244	0.03084678938	0.08347814696	0.1330759544	0.734196705
