 	se	si	era	vestito	il	mio	fratello	l'	avessi	portato	con	me	</S>
a	0.880610798	0.0851188152	0.023216050894	0.0017094517104	0.0006117852924	0.00139422605488	0.00194842922822	0.000420747520054	0.00126341993626	0.0011424907285	0.000534424213571	0.00140016759795	0.000629217503955
n	0.2018934288	0.41682908	0.2349696276	0.00504436028	0.0037631806446	0.00232945904098	0.00123428219957	0.000597728650516	0.00232155355072	0.000836640378358	0.00169586236723	0.0184206547493	0.110064114582
ì	0.01037179504	0.360482336	0.5885900274	0.02467695162	0.00603664579	0.0017976218	0.0003996200752	0.0002302835054	0.00110922021046	0.001104187492	0.000962249778438	0.0017329066901	0.00250615717074
c	0.011712223014	0.4067320156	0.549939478	0.00830021472	0.0137675408432	0.003570325006	0.0012343180366	0.000693216436072	0.000372553607964	0.000284181347437	0.000205498403211	0.00170440842107	0.00148400598853
h	0.0468176885	0.430719452	0.3799515132	0.03484731896	0.040253757106	0.0114904885038	0.00411800265402	0.0297714124917	0.0159584936876	0.000904967889034	0.00135422857232	0.000175557027316	0.00363713607434
e	0.03380880148	0.3303267162	0.417264196	0.08968985164	0.079888253684	0.0139188123734	0.00359522516312	0.00994045923074	0.0102560711044	0.00078086250672	0.00120569242985	0.0086303656208	0.000694693406503
n	0.007061653216	0.07145628804	0.4357544342	0.380164404	0.0770152716	0.012926020916	0.0058924605254	0.00243513760428	0.0041717042745	0.00134666205278	0.00105872859001	0.000659062263522	5.816949476e-05
d	0.007998659418	0.0186857117	0.4893138332	0.32333710128	0.1075786288	0.02829957694	0.0045583709	0.00298701099524	0.00478559972096	0.00639588527138	0.00380245866023	0.00134543046165	0.000911729790752
i	0.0576795184	0.0228297351	0.09874386592	0.356694248	0.309559028	0.05688662502	0.0172635698306	0.039477107138	0.0314419597616	0.0018695997086	0.00286088288156	0.0034756420736	0.00121822296651
s	0.015152930232	0.01816161122	0.04269584496	0.554590116	0.285481638	0.0500950154	0.01879884598	0.005872172072	0.0046245299524	0.0028380569094	0.00058984493946	0.00079465365496	0.0003047705824
ò	0.0081636082	0.01064688112	0.17132982476	0.2912019346	0.3635959134	0.0685517402	0.00906974816	0.004653158846	0.025921343688	0.030727493382	0.0116120917064	0.00260877183876	0.0019175105004
n	0.0153048134434	0.00919868654	0.033416692456	0.1446749236	0.633445086	0.1338333726	0.02082476632	0.0066723191488	0.001360631566	0.000852176752554	0.000230468427566	0.00013906379104	4.697345652e-05
t	0.035198149096	0.021600697984	0.0536597422	0.220598733	0.503953752	0.102277594	0.03922763886	0.00891632878	0.003388058646	0.003727782546	0.0008150761764	0.0018168344592	0.00481960986352
a	0.01200588596	0.010465240624	0.02881146066	0.0385611286	0.564388806	0.1414525512	0.0521423544	0.052943250516	0.0794311277232	0.001352893952	0.00225836025927	0.0120261495351	0.00416079647209
o	0.004247747832	0.003354501294	0.0023056308906	0.02503182848	0.458601274	0.3667633	0.1012125228	0.03173636246	0.003359742694	0.0014201610594	0.0011861193128	0.00061774193806	0.0001630739868
a	0.02866911332	0.007627227006	0.004446795586	0.00531268843	0.1373332732	0.622984838	0.0886503844	0.05844630268	0.0280504297472	0.0054163486922	0.00172742215174	0.00477814289666	0.00655708358575
t	0.0076681612	0.002435113992	0.003370088848	0.002666418316	0.0621805998	0.642035558	0.1679855502	0.05256923374	0.026781973226	0.0081101282334	0.00312716656192	0.00670560698492	0.0143643876695
r	0.009775315452	0.0049511707876	0.004979790414	0.00592295902	0.104399687	0.455932662	0.2201600614	0.0988689654	0.0507669743	0.03414702044	0.0033848908634	0.0018951054098	0.00481541217452
e	0.005311801527	0.00576825795966	0.00356206144146	0.004570158506	0.1401911248	0.2973483488	0.257023752	0.2001833088	0.0476367464	0.0138443622	0.0037590798	0.00453208471928	0.0162689128587
f	0.0014892763446	0.001139506811	0.0006394626084	0.00149175546	0.01772242042	0.4293617248	0.3095108412	0.191150673	0.035420269	0.0078615437	0.0028018491188	0.000925339876508	0.000485335876914
f	0.0056677058712	0.0016408512174	0.001517494534	0.003250887814	0.0477195434	0.219722804	0.3290880834	0.2063703708	0.0762014346	0.07224100052	0.01025399674	0.0056167805092	0.0207090559276
ò	0.0055256543044	0.0029070820568	0.0006754285469	0.008684560416	0.0289892082	0.2123570606	0.2405633028	0.3758055764	0.075737118	0.03509635148	0.00641386334	0.003452330214	0.00379246316
m	0.001281985484	0.002525891172	0.00077345147	0.00087933032	0.019037051128	0.0913520908	0.596072	0.214868983	0.0548806734	0.011423194554	0.005183812979	0.001214701317	0.0005068293001
m	0.00297632476404	0.0014003695284	0.0099876854572	0.0026272394364	0.01749221264	0.195691335	0.430629074	0.080285831	0.0592821488	0.1376353478	0.007268030248	0.0333318472	0.021392550558
u	0.0176397561008	0.0108677841438	0.00175411112614	0.0033324439364	0.01210625006	0.22519707628	0.1630360786	0.326650018	0.1043774156	0.0763526984	0.021265245858	0.013233720458	0.0241874050456
o	0.002301992306	0.00348905884	0.002339126854	0.0033698772992	0.00483813082	0.0442674992	0.0988147212	0.373890734	0.22164168	0.183049202	0.0418777432	0.011901032032	0.00821919244
n	0.015253215062	0.005314413866	0.001982691878	0.001408771956	0.00184866817	0.02924798496	0.0692334534	0.1065137534	0.381760896	0.3221440652	0.04102401472	0.007924246546	0.016343830188
ì	0.006691896634	0.0016803222162	0.0024045950678	0.004132559792	0.003266183862	0.02297140204	0.058617304	0.0974988792	0.3346846234	0.364091118	0.0531529628	0.02471405166	0.02609409027
c	0.002011075544	0.00160799402	0.0011859892894	0.0009366882408	0.001190371338	0.01325640318	0.01421780076	0.04463482176	0.514077868	0.285763638	0.0982038026	0.013678067256	0.0092355163722
h	0.00387745706446	0.00558725645902	0.0120132385605	0.00461773010792	0.009669373628	0.03507932668	0.0427810512	0.06867633686	0.196285252	0.441298458	0.0784254462	0.0474083116	0.054280743428
