 	le	melanzane	vogliono	girate	</S>
e	0.97488131	0.022549227262	0.0015021565924	0.000660241689404	0.00040709436606
m	0.947341182	0.030909421384	0.007392653	0.0023078368012	0.0120489171096
a	0.585069604	0.251030632	0.09871740224	0.0062044998474	0.0589778494798
r	0.604886342	0.232441486	0.00731519227	0.0838619802568	0.0714950037647
a	0.1175686229	0.756722022	0.08864869056	0.0019690165028	0.0350916592028
n	0.1462233266	0.684802616	0.11087937426	0.03192997903	0.0261647292917
g	0.02782791106	0.757976808	0.1599351478	0.000882856396	0.053377306
i	0.2155259614	0.61803306	0.11855638238	0.028100742744	0.019783901968
à	0.19561005276	0.556825868	0.2335825004	0.01115662622	0.002824955034
n	0.02238009948	0.49337768	0.4450871864	0.02442994714	0.01472510346
e	0.008920367488	0.3494370148	0.5779642	0.03448399932	0.0291944127412
e	0.17521964758	0.08537591824	0.59362907	0.0927820412	0.0529933209
t	0.00704729052	0.014101067192	0.747302316	0.141751304	0.08979800156
è	0.0036212143846	0.01267843286	0.899854028	0.0429073354	0.04093896712
l	0.00857282392	0.01394424808	0.737458168	0.2237899272	0.0162347808
u	0.0028099822794	0.00713874994	0.795145778	0.144545772	0.050359706324
n	0.01965094952	0.019226545286	0.2248692146	0.5302763664	0.2059769194
v	0.0203756994022	0.0070665464	0.50797356	0.350136618	0.1144475704
o	0.020568924829	0.13574745587	0.0717546982	0.398538868	0.373390045
t	0.02882689436	0.054432894722	0.06737886764	0.556770884	0.2925904556
i	0.0228079885412	0.005087017058	0.1526810572	0.49251591	0.326908033
m	0.01205348469	0.0297474515634	0.03258176794	0.518789176	0.406828136
m	0.010802709718	0.0078658603986	0.0210607426	0.7560624	0.204208292
è	0.0228779946223	0.0079604208376	0.0477056912928	0.496874104	0.4245818004
n	0.08412803562	0.08090142821	0.05225453876	0.2968793398	0.485836654
e	0.036161544554	0.020583047212	0.04503206062	0.712665092	0.185558284
</S>	0.01840534982	0.019098727688	0.073727144292	0.1981628532	0.690605954
