 	tu	le	hai	cucinati	le	verdure	</S>
e	0.97240083	0.0244617729	0.00183432243	0.0007592932378	0.0001012599214	0.000145707335986	0.00029684492638
s	0.642606746	0.253385758	0.04524495934	0.008746289514	0.0024652194416	0.0294138597236	0.0181372135883
ù	0.3308192238	0.519761588	0.0823714498	0.020675117988	0.002492494028	0.016223057782	0.0276570570772
t	0.2107985926	0.722089888	0.0523101912	0.00986354322	0.0012664867934	0.00215326120158	0.00151798651304
a	0.159407898	0.621347034	0.1253125676	0.05206318442	0.0029421052036	0.0150646275177	0.0238625963251
m	0.0578188247	0.54880091	0.266087352	0.0961039622	0.008798274574	0.0114651516279	0.010925525836
à	0.02072561108	0.419899962	0.342833672	0.1607073728	0.02909219224	0.018577969684	0.0081632052444
r	0.01928954116	0.1465168258	0.662630812	0.1394071148	0.01898882374	0.008157431374	0.005009482334
e	0.06732862008	0.1416985264	0.3353433808	0.364353996	0.0583803672	0.01965027258	0.013244891054
t	0.03853108344	0.05228216032	0.192152206	0.380926948	0.2314713252	0.06533715601	0.039299119486
s	0.03553420276	0.01523797218	0.1607606936	0.512585056	0.196392131	0.0584242506	0.02106569232
e	0.021296036994	0.023118838834	0.07242149194	0.56450559	0.250620346	0.05627752448	0.011760146348
t	0.00689814418	0.00785526446	0.0225524072	0.1484007784	0.582315586	0.09921532206	0.13276247574
a	0.029084823252	0.0107362014386	0.0358212938	0.159660904	0.467767312	0.1844145464	0.1125149152
l	0.01327194268	0.00906126842	0.016730145368	0.0374769974	0.45393795	0.2989309302	0.17059075966
à	0.010586577276	0.0049212038006	0.009548139272	0.053357103	0.354115414	0.394688146	0.1727833952
c	0.008599258726	0.004056746664	0.009274966804	0.0082944511928	0.2043224074	0.51657289478	0.24887929554
h	0.0130906625452	0.0134914425288	0.026855209398	0.01045051504	0.15293103	0.627033105	0.1561480226
a	0.0427659596874	0.001982706583	0.0033501079628	0.016683313774	0.1544991506	0.715714	0.065004776414
n	0.009489797422	0.0070426355938	0.010777648706	0.00606381574	0.06276657432	0.2797807798	0.6240787434
a	0.0064560350384	0.0123739908117	0.0059939852889	0.0187636883523	0.11055929032	0.5934597752	0.2523932172
</S>	0.164203679023	0.017846671216	0.0121540313871	0.022927441494	0.08975142558	0.2804882916	0.4126284976
