 	sicuramente	stanno	ancora	svegli	</S>
s	0.962317046	0.03497112808	0.000900457807	0.00143691496828	0.0003743820688
i	0.859570156	0.12376210252	0.0029878124936	0.00458706018714	0.00909287564466
k	0.8137010692	0.18403924134	0.00111873607608	0.0005376786505	0.000603281820248
u	0.5752274848	0.4094437708	0.0080720778	0.001751221726	0.005505470342
r	0.7280507448	0.256481093	0.00881410625	0.00555067452506	0.00110339382968
a	0.3169567556	0.6348186736	0.0244026456	0.003643956832	0.0201779305188
m	0.4206203832	0.462144304	0.05885769424	0.0366712486902	0.0217063700704
è	0.1487969546	0.707805208	0.0695804886	0.02092115514	0.05289618542
n	0.119044489964	0.692294048	0.1416374843	0.0177691460226	0.0292548354324
t	0.13971266086	0.71878608	0.0899551008	0.026169698	0.0253764749
e	0.08790084372	0.6394211	0.2024019064	0.059494460128	0.01078167596
s	0.138026870268	0.41812898284	0.225733822	0.188616072902	0.02949426946
t	0.041919963175	0.47937742572	0.3385011992	0.0497255166	0.0904758771094
è	0.0479775777988	0.494819330328	0.3606764952	0.061757666132	0.03476895996
o	0.079691142312	0.1405277157	0.433234034	0.26774015349	0.078806980524
n	0.0256971428	0.02764705174	0.58760292	0.2366503288	0.122402538688
e	0.0408607823588	0.037184721938	0.3308215112	0.397425744	0.1937072084
a	0.06832843298	0.014842618486	0.5112403237	0.35190417872	0.0536844642
n	0.02328953282	0.00478223506	0.2751817014	0.468823274	0.22792327588
k	0.0227530045326	0.00479340908508	0.1538110398	0.5388158811	0.2798266522
ò	0.138835860088	0.0520598033822	0.20356293456	0.1680162782	0.4375250862
r	0.0396674838	0.02099746053	0.3714604018	0.4453348746	0.1225397796
a	0.0044479805766	0.0084027496452	0.2350635794	0.5295236634	0.2225620096
a	0.04699452468	0.061321028388	0.26496969002	0.09987496732	0.5268397724
t	0.10104663554	0.0361866975584	0.07904015774	0.4058826628	0.3778438628
s	0.0740226156757	0.0337340640406	0.038457856	0.5085688178	0.3452166632
ù	0.0466646224137	0.0544785381164	0.2216587676	0.2516984824	0.4254995738
n	0.0402891644692	0.0522504539404	0.1178127154	0.361482808	0.428164846
n	0.0479951690617	0.0090356956084	0.05987535686	0.534977502	0.3481163124
i	0.09812842744	0.03303023289	0.1796541537	0.3159537472	0.373233416
t	0.0491162747744	0.0948891323416	0.12308266736	0.2183955217	0.5145164268
i	0.0981584908729	0.091379114119	0.06087458996	0.422432796	0.3271550018
</S>	0.249561691911	0.129178846981	0.113943435378	0.0376720382	0.469643958
