 	è	pericoloso	di	nuotare	nella	notte	</S>
è	0.92085866	0.07780648154	0.00088965238264	0.00013455249012	8.5981733295e-05	5.9025592056e-05	0.000165677824568
p	0.3044587242	0.6861935252	0.002824468576	0.0034164238534	0.00157705046611	0.000295342932474	0.00123448019498
e	0.3536180658	0.618590055	0.016320644066	0.00727906621	0.00063049033372	0.0007813993046	0.00278029043439
r	0.044047371	0.903041588	0.0328821668	0.017753022936	0.0009189313778	0.00112111219379	0.00023584835916
i	0.05668786254	0.87187814	0.05601055848	0.0086690603	0.00080094225038	0.0032941559934	0.0026592480256
k	0.03004163533	0.5708468374	0.3685026776	0.025569988386	0.00240067736764	0.00086806201572	0.00177004446356
u	0.081921026574	0.627588644	0.2486177812	0.02757105826	0.002441745752	0.006796536098	0.00506317704946
l	0.008552500266	0.5000984302	0.437034705	0.03933438816	0.0027629640198	0.00087378812394	0.0113432684502
ò	0.11566170672	0.364806424	0.407968794	0.0714114036	0.009249826134	0.023846658634	0.0070552262422
s	0.005667912606	0.1697565144	0.722091102	0.093106457	0.00778545673	0.0006855942044	0.00090692372414
o	0.015621701282	0.1845317754	0.610809368	0.1585155302	0.002776778858	0.004041604436	0.023703272394
n	0.01370984481	0.0234781398	0.422209938	0.4098602	0.1042184304	0.020359196256	0.0061642552
a	0.043336426642	0.04584681308	0.3477514548	0.494360968	0.02733250496	0.02907928158	0.0122925883968
n	0.005655488314	0.0117753094	0.0683773298	0.765428174	0.1108862262	0.01695863459	0.0209188344979
a	0.027558082305	0.009172895742	0.13582344468	0.684889912	0.0908916748	0.03161337582	0.020050608112
t	0.00460620192	0.011920418356	0.01589314872	0.765088576	0.1471244692	0.0358024132	0.019564755058
è	0.0110553338808	0.003030900818	0.04339744548	0.614628632	0.21479589	0.06665730908	0.04643447722
t	0.005036578036	0.00436105804	0.006925903726	0.431496912	0.461029658	0.0711419484	0.0200079396706
s	0.00210046307812	0.002067004354	0.01743327302	0.393536388	0.351622194	0.1686405124	0.0646001999
i	0.096666386376	0.0122401741676	0.0190891983946	0.1210718304	0.489490348	0.1532753866	0.108166651
a	0.003140280948	0.00413359777	0.016155062422	0.0620160972	0.610901828	0.1422550524	0.1613981132
t	0.00900591066	0.03435951949	0.0175114691572	0.0529487639	0.4768594112	0.2231289928	0.1861859832
s	0.0122062253194	0.0080907800742	0.0108371039342	0.0593985042	0.326030944	0.394542314	0.18889410526
è	0.0123154340823	0.00461104697762	0.00452782208296	0.018736323162	0.1935740334	0.527531036	0.23870429066
n	0.001955807251	0.009690999183	0.002267383404	0.01895614276	0.1437506242	0.446717282	0.3766617568
ì	0.00467797489056	0.00543556520808	0.0058762717066	0.025003799992	0.1503802177	0.609318508	0.19930768128
t	0.003276001238	0.00415048759	0.003707084304	0.00924866472	0.03886653032	0.645036142	0.2957150952
t	0.0047640340568	0.00152673607994	0.0013197046592	0.007216819846	0.0488340426	0.76337877	0.172959881
a	0.0103375909163	0.003515265533	0.00431625373844	0.004118738066	0.02981715415	0.72799516	0.2198998298
</S>	0.00256264065	0.008253011094	0.008666370444	0.0150312124152	0.088731265746	0.1352256432	0.741529826
