 	un	forno	che	fa	buon	pane	</S>
è	0.981419952	0.015788352932	0.0010304990516	0.0001354321031	0.00135061973832	5.4450716792e-05	0.000220678358812
n	0.859371376	0.0888617108	0.009159972988	0.0196236553251	0.0121960074596	0.00069916931714	0.0100881123081
a	0.75074124	0.181270334	0.00658617414	0.00358805965	0.00214584201	0.0003528364462	0.0553154975431
f	0.4134620648	0.480398263	0.0334981926	0.009494998524	0.057895869264	0.00333971051248	0.0019109647732
ù	0.051367439	0.841767532	0.0597956543	0.02103209872	0.003730710654	0.00055929793866	0.0217472727172
r	0.084016285	0.80693697	0.0851901138	0.01218133244	0.0110329490327	0.000182702197352	0.000459650269482
n	0.01307314249	0.577272922	0.236342464	0.054149278	0.080022733466	0.00307204653176	0.0360673828406
o	0.07562108894	0.5229772328	0.2847597728	0.04972795161	0.007696041668	0.0421128328031	0.0171050884567
k	0.02474647756	0.1169155556	0.69955742	0.122190189	0.02439879714	0.0086192082148	0.00357239091
a	0.00455058885	0.1919236886	0.642960232	0.1191828978	0.02124994194	0.00635320795	0.0137794523408
i	0.02491309502	0.0269402408	0.398838652	0.436745504	0.09374007368	0.0073910585898	0.0114314007795
k	0.01658314924	0.02409185054	0.1464117164	0.686006626	0.0804468294	0.018661529124	0.0277982670169
à	0.007957008586	0.0195333884	0.2344852406	0.461962924	0.1595278832	0.01394255224	0.10259100282
n	0.01962889636	0.01157527772	0.1160505274	0.482616918	0.342362524	0.014166368394	0.0135994900882
n	0.003152386348	0.01718716802	0.113324808	0.42565039	0.2708641044	0.03291655914	0.1369045768
i	0.0633991021176	0.108492263551	0.06939503052	0.277343848	0.208899397	0.16598845476	0.106481895446
t	0.00888682336	0.003330193258	0.01669568062	0.318430813	0.33440658272	0.2604543726	0.05779551888
s	0.00098109619372	0.00151577173	0.025926875244	0.2124072118	0.42410350808	0.11913504532	0.215930495644
o	0.00311158937396	0.0041254653751	0.0286293352948	0.0987241298	0.435263049646	0.2737280152	0.15641842072
m	0.005037853212	0.0026987018788	0.013736299078	0.1096487956	0.263107762452	0.411358236	0.194412345
ì	0.0009790912564	0.001014137948	0.008311627634	0.075387877186	0.366223710894	0.299490728	0.248592844
k	0.008666143521	0.003190577188	0.00333764708	0.0235860044	0.3848175272	0.32368328	0.25271880554
a	0.000515602626	0.000388587622	0.001786165692	0.01712547614	0.119045044	0.467691874	0.39344723
l	0.0183288042	0.009253144374	0.01253091716	0.03849306012	0.192235397	0.285465034	0.4436936438
ò	0.002556946083	0.001031428738	0.003258820605	0.006578121854	0.05917492886	0.549407582	0.377992207
</S>	0.00868095632	0.00353903107	0.00611623493	0.01361472758	0.2700784708	0.4005023768	0.2974682012
