 	l'	ha	scritta	</S>
t	0.96912871	0.01862162626	0.0099458403994	0.0023037901954
o	0.832405058	0.0925508674	0.052339329782	0.0227047402767
è	0.0953973569	0.861349426	0.03236490608	0.010888313854
g	0.02389797505	0.85750458	0.0984663663	0.0201311416
r	0.1176617452	0.552035744	0.2840844448	0.0462180404544
a	0.0645680808	0.490409384	0.341130784	0.1038917538
t	0.04522434592	0.3444434486	0.476830032	0.1335022034
s	0.005258491776	0.0518626532	0.80609903	0.13677984946
e	0.068943329088	0.092212462	0.548374356	0.2904698358
</S>	0.11499030141	0.10289128752	0.2541507188	0.527967716
