 	sta	seduta	nel	giardino	nel	giardino	</S>
s	0.985518334	0.0135541003	0.0004178130286	0.0001144536631	3.151516244e-05	6.407685594e-05	0.000299695767626
t	0.8906193	0.0772530105	0.0067931812676	0.0076221488848	0.0024492510459	0.0017176986267	0.0135453810628
e	0.849426124	0.1415403896	0.00429651942	0.00243270485144	0.0003415323648	0.00183519411599	0.0001275138456
k	0.1691379742	0.817265046	0.01022042888	0.002481428977	0.000492854751368	0.000261727595388	0.000140578262068
a	0.148746025	0.799607576	0.0237287523	0.01479898912	0.000210442299	0.0114295345704	0.0014786913602
m	0.0215603857	0.91577671	0.05836212266	0.002563645629	0.00035269750004	0.000131443995728	0.00125301904615
m	0.0351430228	0.787466772	0.1133250114	0.04843222756	0.000909669104	0.0078949717732	0.006828273024
è	0.10529348722	0.629271982	0.1746753648	0.0731026682	0.002010097475	0.015254840526	0.0003916096197
n	0.024197350728	0.38416931	0.560069046	0.0181299194	0.008723954452	0.001242659149	0.0034677368132
i	0.017773066004	0.6256385712	0.3401824358	0.00897519374	0.0030390668976	0.002620938602	0.00177071661296
s	0.0451621366	0.05915552246	0.697218448	0.1711957778	0.0162743166	0.0089146718788	0.002079106232
t	0.008291398174	0.1850821782	0.508974646	0.240829193	0.0209142558	0.02851011362	0.007398194401
o	0.025422560928	0.040966899866	0.4993231836	0.4054493564	0.01768872426	0.00793224246	0.0032169885186
g	0.048373008666	0.03235831744	0.282382064	0.536945294	0.0707625312	0.008019215084	0.021159558844
i	0.005668849384	0.09903897586	0.311235266	0.431648516	0.09986251466	0.04659221278	0.00595366128
a	0.018685216624	0.01311233956	0.0327672046	0.794202586	0.1189360734	0.013745963406	0.0085506566
r	0.012111253472	0.00492753353	0.00841863656	0.766632722	0.1414044295	0.041876123132	0.02462930854
d	0.0048269909348	0.022518852996	0.06822221884	0.557885278	0.1835950068	0.0810869953	0.0818646446
ì	0.0363630167706	0.010053924507	0.03060442852	0.511133826	0.1658732176	0.2074847641	0.03848681916
n	0.002623130762	0.00264161792	0.00830051036	0.418162088	0.461938018	0.08832085462	0.018013752532
o	0.0019323671436	0.006463693083	0.0676010366	0.3688481412	0.323478982	0.1792150604	0.05246068148
s	0.01475701248	0.00817366104	0.018669167908	0.16633989766	0.4602445378	0.2127106642	0.1191050392
t	0.0214111386304	0.0268456778112	0.032232401106	0.2268203702	0.326331328	0.280890091	0.0854690294
o	0.0188417733273	0.00740181757775	0.0118512725786	0.084402038	0.38779484986	0.386398678	0.1033095654
c	0.00494547075	0.004206896701	0.0112006366882	0.06223541286	0.3245882191	0.330065581	0.2627577656
ì	0.0210032354084	0.0147017114333	0.01817567144	0.04731302976	0.1556420254	0.426469738	0.31669462
p	0.0149504127074	0.006088739494	0.006489080298	0.046570696328	0.0919239884	0.656961394	0.177015685868
o	0.00039592698202	0.0002319665666	0.00050384548426	0.021655079479	0.11900052278	0.734152734	0.1240599052
</S>	0.009703656828	0.012050773442	0.011685924758	0.032940163589	0.0420220181	0.336567164	0.5550302928
