 	Marika	tu	hai	mangiato	</S>
M	0.991231032	0.00597736932	0.0012653775152	0.0009253112126	0.0006009287764
a	0.894017848	0.054538183	0.01006790848	0.03547832844	0.00589773472
r	0.762699968	0.0749841914	0.021780249426	0.017638873208	0.122896723857
ì	0.3765892362	0.5260385	0.07929728554	0.014608290138	0.0034666733054
k	0.12475644814	0.730374824	0.1277398844	0.0067575423194	0.0103713477017
a	0.09390714196	0.4583499022	0.2431824556	0.128205054406	0.0763554790082
e	0.0558394738	0.498715646	0.349858375	0.05990473448	0.03568176168
s	0.01318412412	0.3762838476	0.38576394	0.1481679416	0.076600169226
ù	0.011644192518	0.25619686422	0.433799312	0.20515184	0.09320778454
è	0.004611167688	0.04409703564	0.509978396	0.4030673092	0.0382460584716
f	0.017047781506	0.0471908369	0.30151582486	0.561108498	0.073137057944
e	0.013497047264	0.008984170752	0.20287764274	0.643114468	0.13152667133
</S>	0.0209123796	0.03871960924	0.13436314792	0.411785986	0.394218885
