 	possono	essere	ancora	svegli	</S>
i	0.983025498	0.016002248354	0.0004753786372	0.00029727312672	0.0001995897378
s	0.8338262	0.0801033064	0.0137799243056	0.0362010135834	0.0360895285642
ò	0.7091536592	0.262718454	0.006514729274	0.00450621041186	0.0171069646594
z	0.651873568	0.33416972	0.00739700803654	0.00172938349303	0.00483030046861
o	0.392572374	0.537248922	0.01802489858	0.0036129282104	0.0485408674172
n	0.1029608682	0.798515536	0.0700547572	0.013996213292	0.014472596975
e	0.07651615752	0.795599888	0.07307359074	0.010037116842	0.0447732393584
ì	0.09246411826	0.653519266	0.1739774418	0.074533685908	0.005505496002
n	0.0485084877	0.44881155	0.369093174	0.11621371412	0.017373055206
e	0.03826252488	0.489753366	0.38021831	0.041200608	0.0505652006
a	0.05673137002	0.06337782378	0.655154476	0.20600858878	0.01872771654
n	0.01370134196	0.02469957494	0.5174910328	0.410239315	0.03386872162
k	0.03975416623	0.02525960208	0.37023941824	0.37218480282	0.19256199532
ò	0.126465142116	0.15420354928	0.21700553	0.2373273298	0.2649984488
r	0.02111942114	0.015838623616	0.528238933	0.3335987384	0.10120429002
a	0.003302888342	0.009266235128	0.5693428446	0.31398797	0.1041000606
a	0.1164550669	0.04301519466	0.30471870614	0.39243388412	0.1433771554
t	0.05239732032	0.024381577694	0.04963870074	0.627437142	0.246145254
s	0.0165108325584	0.0072451945388	0.0345367638	0.6513840898	0.2903230906
ù	0.0850495608532	0.0678544013402	0.1936305675	0.2381945072	0.415270995
n	0.0204992815	0.045333442197	0.09818069514	0.514520834	0.3214657804
n	0.0133249257652	0.0126170335704	0.0398976236	0.61073076986	0.3234296506
i	0.0836818014187	0.021110378275	0.18557422518	0.35408151834	0.3555520752
t	0.0246858851	0.0449723112033	0.112431714672	0.2881566836	0.529753434
i	0.110141565668	0.0170327794575	0.02022983544	0.44876408472	0.4038317228
</S>	0.066516684644	0.0962226899684	0.086189059668	0.0312831804	0.719788387
