 	non	ho	scritto	mai	una	lettera	al	mio	fratello	</S>
e	0.862639976	0.1245998868	0.00890721258	0.0010498142868	0.000397778941	9.43852956e-05	0.000216845860962	0.000292982093888	0.000952364241857	0.000848710874866
n	0.40360182394	0.365193922	0.04815894822	0.0126167245574	0.00995096572304	0.00910729598691	0.00105762010556	0.00223649349542	0.00152163474766	0.146554574258
è	0.15700400248	0.585452336	0.1755392384	0.0127519042	0.016718930984	0.0044458596086	0.0018290140448	0.0115410572405	0.00638021855198	0.0283374106957
g	0.0795934574	0.708349854	0.167535625788	0.01879239394	0.01183856144	0.00409858139124	0.00202898246722	0.00171797447287	0.00302284847553	0.00302170856173
r	0.0332808834	0.473542526	0.364253732	0.01674737018	0.05472019976	0.0097968147098	0.00065536439232	0.00195689341948	0.00296587971911	0.0420803695647
a	0.0185239799	0.1430109588	0.700570816	0.07269405626	0.037250278562	0.0104897714106	0.0041188067818	0.00296525602763	0.00331589763309	0.00706019316625
t	0.01444770398	0.0651841258	0.268863036	0.512569352	0.087774528	0.004049649926	0.0111216461888	0.0157636518902	0.0198208752072	0.0004054634308
s	0.10906817708	0.0384739989	0.449529492	0.25360871638	0.0854369676	0.0351056970432	0.006159457526	0.00403980221614	0.00212835141276	0.0164493565605
a	0.0587927822436	0.03201684434	0.250133836	0.418219153	0.13408039192	0.08498407566	0.015458497424	0.0026990088195	0.00222682489	0.00138861741924
m	0.006327926346	0.016105205026	0.0087879987	0.775828928	0.158191871	0.007609556464	0.010074089025	0.004232551168	0.0124499210594	0.0003919364422
à	0.012841075326	0.01890695376	0.077652651	0.5402794926	0.2146647446	0.08676446954	0.01736500296	0.004979190976	0.005007409186	0.02153900696
i	0.0159903441346	0.006428461528	0.0035105249	0.52032406	0.418565226	0.01760942002	0.00966584985	0.00540467401164	0.001972061659	0.00052936162536
è	0.007791701636	0.017650089274	0.000817242996	0.06511857	0.719773748	0.1318910958	0.02286937852	0.01831598472	0.0148076971972	0.0009644609826
n	0.0039079129952	0.005659258456	0.00099533433	0.06897449848	0.703477194	0.1426260364	0.0417130219	0.013915139988	0.0124423664132	0.0062892258026
a	0.0140852921537	0.0094286232	0.0028558881062	0.0581483384	0.527167816	0.307070255	0.05968406514	0.00876489208	0.008073907486	0.004720944294
g	0.00796423444	0.021185346284	0.001957321306	0.07039777962	0.4038558	0.2243891016	0.163066383	0.0692593643	0.027979488366	0.0099451745
r	0.0115394452421	0.0159706153258	0.006341469356	0.01080423856	0.2478066246	0.386691988	0.257104054	0.0387270374	0.01289403232	0.012120532142
à	0.00179902666763	0.00816037683777	0.00293951447648	0.014678803614	0.13842102816	0.1837115376	0.509464746	0.055520066	0.01623688266	0.0690680084
m	0.00213276155	0.001204363162	0.000995772866	0.00490342781	0.0811743038	0.3037407068	0.4446717692	0.150631442	0.00769813216	0.002847269642
m	0.00159417231678	0.0076131697974	0.0018300510568	0.005070334848	0.1520764108	0.260996005	0.37089632	0.089569026	0.0863001104	0.024054403222
a	0.002861122777	0.001759094668	0.00327069282	0.003446180386	0.07795967766	0.1116060782	0.661514458	0.082581663	0.03660561617	0.018395395812
s	0.002253661638	0.002667314052	0.001792005347	0.0045829766336	0.02339186	0.02898012106	0.385407386	0.486029046	0.0297615828	0.0351340586
o	0.00218981090649	0.0069935414542	0.0040741398286	0.0017434771542	0.019851926634	0.1279503814	0.419767246	0.1871509732	0.1155660956	0.11471243226
n	0.004227723326	0.0072364173712	0.0020629369494	0.00332632056	0.00786993412	0.01682344994	0.075895291	0.730227508	0.11562275208	0.0367076683
a	0.004065760109	0.0101528731534	0.004522356333	0.0016663977112	0.016600926682	0.03220823872	0.1363511716	0.39330107	0.281357868	0.1197733224
d	0.005137481928	0.00503402854	0.001868251871	0.002092548818	0.005384616566	0.023505216932	0.0311396892	0.660663432	0.2060098036	0.05916492308
e	0.00463256089792	0.0066059039278	0.0082225338238	0.0017795543654	0.0099459728506	0.015884794232	0.04985112954	0.264865339	0.491339404	0.1468728058
r	0.0115862230258	0.0050581884975	0.0018361169738	0.0023233717162	0.0069295617308	0.0159010637876	0.0127289969	0.454058694	0.32129269	0.168285088732
f	0.0025984686908	0.0040251075764	0.006615908767	0.0010771570746	0.001015513761	0.00793280029	0.02457858974	0.2013816052	0.623791216	0.1269836214
ò	0.0070038799314	0.0201461025778	0.0073004837123	0.0062125292712	0.0152280761908	0.0226382364346	0.0988926416	0.2135393662	0.313617254	0.29542143214
m	0.005706370356	0.0017465947236	0.00160058133	0.0015652914074	0.0041821620904	0.005967495836	0.00957785266	0.1744417457	0.650350936	0.144860935
m	0.00103242151068	0.0052786284474	0.0008850132034	0.0003832723526	0.000631758391	0.0034655029172	0.016075064244	0.1585532144	0.721118146	0.09257700346
u	0.0090370364014	0.00339976281156	0.0066994129786	0.0034235871786	0.022788171801	0.0236708458732	0.04701564478	0.199849442	0.468700152	0.2154159352
</S>	0.011178284556	0.01032043097	0.00868504915	0.0107380501	0.026838754149	0.0491584028725	0.020934565267	0.08499399972	0.180457795	0.596694718
