 	se	aveva	vestito	la	figlia	l'	avessi	portato	alla	chiesa	</S>
a	0.929737412	0.0620935232	0.00215266396	0.0014248898946	0.00037030695412	0.000233876665454	0.00119006000527	0.00124619961273	0.000526634365843	0.000541958558004	0.000482438742239
n	0.2486851412	0.587779906	0.01715189592	0.004221081052	0.00311331091672	0.00089433976992	0.00117342617629	0.000683236004558	0.00309109536258	0.00461582213146	0.128590735847
ì	0.01232808702	0.862814078	0.10536564246	0.01021693796	0.000852226584	0.000183033884	0.0006592839708	0.00064008841136	0.000471192554194	0.00347837838472	0.00299101050304
c	0.00701432406	0.92661085	0.0375158686	0.013198140444	0.0019566205832	0.0009055323603	0.0003153526889	0.000246529106871	0.001608193849	0.00773979664	0.00288879025838
h	0.11351201922	0.5776444296	0.1796541804	0.04978287872	0.00677392778	0.0334918055428	0.019397242787	0.0009416716382	0.000102476264717	0.0179195825658	0.000779830513815
e	0.08057720958	0.443978624	0.3604696284	0.08816636598	0.0049392928256	0.00478225906415	0.0070134782646	0.000670268420274	0.00372283133998	0.00522729292467	0.000452770897005
n	0.00520054461	0.15809733796	0.696027364	0.1092160228	0.01771261858	0.0020641459994	0.0027964086646	0.00134172041134	0.0009160611698	0.0066136234833	1.4139146168e-05
d	0.014352141532	0.100254076	0.5756190852	0.2275323694	0.008848056826	0.0035412922388	0.0031937955842	0.00458795386592	0.00079996236766	0.0607930938493	0.00047822004492
ì	0.06163953436	0.04219863924	0.4205837288	0.314913966	0.0593968757	0.04445998597	0.031775161026	0.002164320422	0.0082878801216	0.0131212576437	0.00145866353184
s	0.00340427484	0.017165391488	0.345267156	0.508401528	0.1093206178	0.0106241155	0.001064007518	0.00053167684798	0.00123142187904	0.00294364787099	4.615216092e-05
o	0.03030041312	0.01179848862	0.3720552494	0.46319779	0.0745178552	0.016339293488	0.004172460536	0.004631290908	0.003848868151	0.0171833690255	0.00195489337027
n	0.0145298604566	0.0156842880068	0.0499562182	0.612868544	0.2557349128	0.0354712256	0.005417947152	0.002282613118	0.0028814299182	0.00476163867824	0.0004113396628
t	0.00738001964	0.0097803339	0.0962764996	0.615150408	0.1635710246	0.01589070452	0.0156873421	0.016849374846	0.000746325224	0.0576269446782	0.001041014226
a	0.010327510754	0.003700662092	0.0117486039	0.429394776	0.3493334386	0.0817118806	0.05447147794	0.003797299362	0.01701431083	0.0360116009518	0.00248839298033
