 	lo	sentii	che	viene	</S>
t	0.98353947	0.00326488168	0.00750253919426	0.00486591827813	0.00082717167164
o	0.878826942	0.058965583174	0.0092491439674	0.0241401010931	0.0288181711175
n	0.18807673092	0.719094264	0.069440510876	0.018717439986	0.0046709758
ì	0.2324152322	0.2756773604	0.25897523306	0.141430466845	0.0915017056
k	0.03399279454	0.66624755	0.26218737	0.033740463	0.00383181245
u	0.1714443856	0.565224182526	0.1791415608	0.015806003342	0.0683838576296
s	0.097326926328	0.230748464	0.533178312	0.1133225544	0.0254237442
a	0.009328478764	0.143478833834	0.53276405206	0.24551383976	0.068914799092
n	0.02037552972	0.0778459566	0.252016799	0.433072214	0.2166895008
a	0.01149853485	0.0102716089	0.335890824	0.462335632	0.18000337412
r	0.016946342194	0.02867781538	0.0528038819	0.683869218	0.217702714
t	0.000384934112	0.00435397267	0.03297573286	0.399985662	0.5622996898
i	0.027031749332	0.0238180829842	0.211943707712	0.243941743	0.49326471
</S>	0.064319186456	0.082540366214	0.06233902004	0.18982575	0.600975673
