 	mia	sorella	quest'	anno	che	viene	vuole	diventare	dottoressa	</S>
a	0.97458162	0.01803470834	0.0021389139948	0.00252672135476	0.0002388056861	0.00141570199894	0.000290388048344	0.000298625548307	0.000289066208273	0.000185498857089
d	0.475047046	0.38436368516	0.027453845072	0.012907293922	0.00388070532078	0.00481497600754	0.00748164192155	0.0540073508824	0.0104156615962	0.0196277749592
r	0.32482698198	0.648163392	0.01610439818	0.00551101764	0.0005726512634	0.0009896003964	0.0009236195388	0.00171366569769	0.000105721048572	0.00108893413424
e	0.3889424662	0.547604256	0.03771082036	0.018483459496	0.00067717772052	0.00197885346536	0.00104468700851	0.00302359249342	0.000146614148471	0.000388060155637
f	0.10663376192	0.85204916	0.0359737709	0.001574609926	0.0007012771287	0.0003708331848	0.000966220347	0.00166419747253	2.54317397525e-05	4.0730881412e-05
f	0.147081391208	0.734720938	0.0937462114	0.00969985286	0.002077530418	0.005950242776	0.00148421197	0.0005770497708	0.00032110125	0.00434149114386
ì	0.21790411332	0.5318354462	0.169941547	0.0590725824	0.005879708322	0.0034252950512	0.006044359777	0.0051315529504	0.00035159911444	0.000413796876454
m	0.017560185788	0.65799913	0.3030549316	0.01314113574	0.0033349637344	0.00052634143	0.0018915098661	0.00239097351153	7.4283147324e-06	9.3354517226e-05
m	0.05763239276	0.3834534012	0.4408233804	0.059758724846	0.021832637702	0.006379540591	0.006406468482	0.00532690810592	0.0020303613032	0.0163561800728
u	0.17714071416	0.4792504604	0.21504007	0.061242089	0.019596870132	0.003599613506	0.003417034874	0.00763541625748	0.0318640311928	0.00121369036385
f	0.019808435418	0.1056235972	0.591267168	0.211063448	0.026388827648	0.00825444956	0.009474904648	0.0273336884324	0.00048405772255	0.0003014116101
ù	0.031084945048	0.07590612792	0.60683361	0.205803909	0.0394028611	0.01892320988	0.01069588718	0.002408202537	0.0031542663188	0.0057870007426
e	0.005877010975	0.02883249266	0.601588654	0.31802889	0.0300950838	0.007217736	0.0034710037468	0.00464317683728	8.545881706e-05	0.00016042666026
p	0.00633353119	0.00945928746	0.293917892	0.574015224	0.0593492728	0.0312984788	0.01181504456	0.0124394299064	0.00045729884944	0.00091454185528
p	0.012010353985	0.00391619182	0.3039882472	0.546043188	0.0929381766	0.02990027174	0.00912056974	0.001150904848	0.000354107829	0.0005780066268
ò	0.0186190305173	0.044502655158	0.2551827904	0.573426416	0.07058332214	0.0236269282	0.00724432426	0.004126543611	0.00087418322752	0.0018137723752
r	0.02963370426	0.007601424572	0.1320445218	0.426756278	0.2435754	0.14199168	0.01239959366	0.005381491242	0.0001620655352	0.0004538118446
k	0.00850585116	0.00531874227	0.281087751	0.241793514	0.338636794	0.0665441596	0.0364565878	0.00516681408	0.005244436338	0.0112453289552
e	0.0653533941	0.01494459724	0.0630314128	0.4348011676	0.2632598058	0.0735022444	0.0208803364	0.006140053416	0.02691931233	0.0311677064954
t	0.014351528786	0.003629623362	0.01129856717	0.136151132	0.526418032	0.20672401	0.0794171174	0.01947926936	0.001142469676	0.0013882020088
e	0.0034265138642	0.000474729243	0.01850253512	0.2372851248	0.33190965	0.2207886586	0.164638106	0.00777839566	0.00497878972	0.0102175024266
e	0.003835913792	0.00359271736	0.0075083240784	0.02062007	0.362438446	0.293287952	0.263185228	0.04059213302	0.0017425526088	0.003196654325
t	0.005042133948	0.0025712290686	0.002279626584	0.04396772588	0.0907993422	0.4002985712	0.3555918068	0.0861459242	0.003500432436	0.00980321418994
è	0.0026904598865	0.0012643254216	0.0025143572102	0.03749127448	0.109322424	0.2619741686	0.504474182	0.0626644436	0.00785711874	0.00974724139
l	0.000738316662	0.0012080070694	0.0016264837266	0.00334948228	0.0529731095	0.308345542	0.56403427	0.0597407034	0.00566281251	0.002321299491
i	0.001182441476	0.0003704336975	0.001780552476	0.0124860501	0.1023955632	0.125641436	0.568557932	0.1372259098	0.0280703896	0.0222893144214
n	0.002637167114	0.003704000386	0.002566062416	0.00434590047	0.0223114876	0.1030987174	0.342622528	0.484620421	0.01796466278	0.016129053132
a	0.0040721441612	0.0010207226586	0.0015220541582	0.008659347472	0.03587355132	0.11564847426	0.515932762	0.2455037836	0.0397270612	0.032040144834
d	0.001711462048	0.002865975734	0.002896698108	0.00159149004	0.00967045378	0.04495856838	0.331305328	0.5388246412	0.04559284086	0.02058251956
i	0.0084881033528	0.002144726718	0.0020703523243	0.004591714086	0.018119799708	0.0406477602	0.335089514	0.3452470168	0.1533192032	0.0902818076
v	0.00380943425	0.0051929039984	0.0037154457794	0.001658081868	0.008600831614	0.021511566388	0.2383836386	0.576305994	0.1017567586	0.0390653625
e	0.006069626613	0.0009344092396	0.0008531133236	0.002073296827	0.009158173624	0.0143508471	0.137127825	0.351669422	0.3615438506	0.1162194198
