 	la	casa	la	costruiscono	i	muratori	</S>
t	0.98291956	0.0148486088	0.0008557336324	0.0011047655338	4.04871181e-05	5.926270266e-05	0.000171538460836
o	0.886852226	0.0979401988	0.004424466572	0.0010911224992	0.00134890482202	0.00191062364948	0.00643249582547
s	0.436385296	0.528889056	0.01452469344	0.0008489188516	0.0103446162811	0.00404374425616	0.004963655918
p	0.1698091798	0.78433652	0.0249812991	0.008262092776	0.000468987488	0.0022523291523	0.00988960437352
ì	0.0855001674	0.864321764	0.0360676914	0.00448600916	0.00205000930032	0.00610209134564	0.00147228210505
t	0.04718755892	0.806902054	0.1428973687	0.00228454151	0.0004312441843	0.00010059751946	0.0001966515046
i	0.04076610008	0.586549836	0.324891968	0.02267042956	0.0085408923564	0.0115000061714	0.00508076222324
t	0.06220752026	0.257255724	0.620975672	0.01281006146	0.039373317412	0.0027362161074	0.0046415290698
o	0.005468413508	0.276253844	0.610107058	0.0719413944	0.005211192764	0.026774164904	0.00424393766731
f	0.022621386196	0.0422246636	0.816251114	0.0777919432	0.02220487704	0.0012355123538	0.0176705211395
a	0.006863086468	0.07234625076	0.595317498	0.29401972	0.00965556082	0.012963278192	0.00883460524
b	0.016283737224	0.01497657738	0.52619271	0.3834778612	0.0370111982	0.001608198922	0.0204497130722
b	0.00250816472	0.01713735912	0.373189482	0.524685358	0.02851577858	0.03827388008	0.01568998082
r	0.0774243422128	0.04087653074	0.388139802	0.4253230102	0.03483345618	0.0239184429	0.0094843951986
i	0.05117925929	0.06767347377	0.30914076	0.4428887476	0.062761584	0.029092211012	0.037264005874
k	0.045144659471	0.012667998544	0.0828006548	0.2708258168	0.410161732	0.136698839	0.0417002805
è	0.017946739582	0.00799948802	0.0727801316	0.630805078	0.1086793225	0.14037981814	0.02140942362
o	0.1201419411	0.040877229206	0.06090390928	0.2798700522	0.4570783554	0.03212526122	0.00900323016
n	0.0562661202	0.04140634093	0.04007456414	0.0771627874	0.640395042	0.1311271764	0.0135679252
e	0.0058865114382	0.00660522790816	0.0132593579	0.0729485062	0.4131423236	0.45040535	0.0377527783
i	0.02447709206	0.0290720572424	0.0422619963714	0.013320681592	0.6543561032	0.1871916426	0.0493204124
f	0.00881743348	0.006759146526	0.006392039508	0.027999771688	0.51362844	0.332292862	0.1041103017
a	0.001998272592	0.0040926697718	0.002942075924	0.02699853786	0.21482917826	0.595142396	0.15399686972
b	0.01727198322	0.0225235816132	0.020000876012	0.007968361312	0.2316884358	0.572972304	0.1275744612
b	0.0015313304072	0.0050281284432	0.001792598338	0.01114642718	0.08141330914	0.732127256	0.1669609468
r	0.0270584312377	0.0224915041836	0.021469025748	0.04226340848	0.06823757824	0.577549387	0.2409306858
i	0.0306165229034	0.0391068689782	0.046997489314	0.071747589328	0.086635340772	0.5236702888	0.20122587696
k	0.00657915388	0.004191051052	0.00620868131	0.00542600484	0.08293311934	0.3746699148	0.519992066
a	0.0026135366646	0.0131409798114	0.0034839686498	0.015001409136	0.03659855008	0.61268427	0.3164772846
t	0.04943174138	0.05505103992	0.00942341214	0.024497159008	0.05940302846	0.4509144978	0.3512791361
ò	0.0032989019782	0.00391134332948	0.0014417767662	0.004346482265	0.00826340152	0.744236586	0.2345014838
r	0.00900285686	0.00833098542	0.0049491318	0.00691881312	0.0278977216	0.645664212	0.29723627
i	0.0015605551008	0.0059620166182	0.0019311941643	0.004722757806	0.01121271453	0.894275296	0.080335501212
</S>	0.02564616446	0.01739533924	0.01973756768	0.01980560586	0.12460949096	0.2215488294	0.571257024
