 	qui	dentro	vuole	un	tappeto	</S>
e	0.981009752	0.018092158974	0.00046470876928	0.0001383062535	7.785688723e-05	0.000217197774924
t	0.728045412	0.250158701	0.00790504784	0.007434254508	0.00489558579146	0.0015609835082
t	0.81821652	0.129586312	0.014532274706	0.002780741998	0.0034880487404	0.0313961164656
ù	0.757582954	0.1812633148	0.05209158402	0.003292448736	0.00550357005524	0.00026609331498
m	0.1000073304	0.870915132	0.0257430725	0.002348579832	0.000465064838926	0.000520866808146
è	0.0769576424	0.6197312996	0.2450974658	0.02252453398	0.011009491217	0.0246795658853
s	0.01851028994	0.825432902	0.1302562516	0.01239818342	0.0034010084736	0.010001365924
a	0.01969183168	0.5575064488	0.389946686	0.0097311272	0.014732384588	0.0083915593722
t	0.04945365017	0.1927753956	0.607389788	0.1334189578	0.008330540656	0.008631696154
è	0.002477426848	0.05083747	0.79506474	0.1272725576	0.01202342748	0.0123243370746
l	0.003804707834	0.01296785414	0.824277012	0.146218783	0.00587879348	0.00685283173584
i	0.002305948792	0.0449232295	0.789513198	0.1221015148	0.01434829078	0.026807837602
è	0.03022583762	0.02163071356	0.1642769038	0.707334248	0.0389686188	0.03756368156
n	0.00315389058	0.0032289977	0.1300992366	0.799494242	0.03320204786	0.03082159538
a	0.0187448508644	0.0075952515252	0.127161279	0.700804102	0.0818160544	0.0638784842
t	0.093197614	0.029202008052	0.031664362074	0.530754896	0.21002581	0.1051553172
a	0.006686660852	0.00804333091472	0.02985149514	0.282835748	0.523872818	0.1487099266
p	0.00788605306	0.021551381993	0.02439229007	0.280289336	0.488239896	0.1776410484
p	0.007238665764	0.0020485097084	0.006949972232	0.0559208184	0.727360564	0.2004814766
è	0.00092111666302	0.0037471297202	0.009104415656	0.04370916072	0.706677572	0.2358405978
t	0.0061082091752	0.005786441608	0.00540213924	0.10149554914	0.70955615	0.1716515176
o	0.0051730819528	0.003198082386	0.0193198159852	0.0690390884	0.737398132	0.1658718158
</S>	0.03601474722	0.040121897394	0.034611681384	0.08394407302	0.1359113464	0.6693962526
