 	avete	cucinato	le	verdure	</S>
m	0.991364006	0.00718374734	0.0003382431834	0.00042303631748	0.00069093997154
a	0.588262926	0.2582102368	0.03503887394	0.0750634785288	0.0434244709036
r	0.815917868	0.0970280032	0.012389523246	0.0348021304118	0.0398624953082
è	0.3270067552	0.58269397	0.0357944704	0.02723805591	0.027266723088
t	0.253872096	0.72041954	0.020160173	0.00396803036834	0.001580130222
s	0.1996849127	0.668785196	0.0832259244	0.015677600388	0.032626309491
a	0.03744232454	0.823661542	0.10881176086	0.025755756526	0.00432859189556
t	0.05127948692	0.509687228	0.3826478404	0.046982889736	0.009402568328
o	0.038219887108	0.421121588	0.4592982356	0.06546378156	0.015896537968
t	0.05353377528	0.1820702006	0.513697458	0.19353369654	0.05716487818
a	0.022828163792	0.088550302	0.585494776	0.222971844	0.0801549188
l	0.04592915954	0.0269733344	0.463372296	0.3180002534	0.1457249796
à	0.015665588446	0.0161899162	0.472388642	0.376181066	0.119574764
c	0.03768560608	0.007265867704	0.2265915576	0.50054391152	0.22791303588
h	0.078688417733	0.001555992654	0.110578788	0.66186947	0.1473073594
a	0.0190046652477	0.0481369318368	0.12549772394	0.75469672	0.052663915348
n	0.0095568677692	0.014618088866	0.05180449014	0.26955702	0.65446351368
a	0.039821045637	0.0122054305494	0.076898943546	0.6557740654	0.2153005048
</S>	0.17847301293	0.0272864227988	0.06161978694	0.3001476498	0.4324731178
