 	ho	cosa	a	fare	</S>
è	0.937218322	0.05759317942	0.00325943396	0.000964483972	0.000964620482
c	0.244910258	0.473827225	0.0381275502	0.17392815386	0.069206857006
h	0.2684628052	0.4408618876	0.02840864504	0.178406844006	0.0838598455066
o	0.0967665569	0.85567374	0.018911641	0.023362962496	0.0052851041394
t	0.04597104198	0.5160683672	0.3151417144	0.0768514344	0.04596746946
i	0.08937784816	0.315605604	0.270160949	0.27085147168	0.054004118106
k	0.06697649726	0.0400191158	0.58378781	0.172299718	0.1369168964
à	0.04787123368	0.02580838708	0.3085099282	0.414836304	0.202974151
i	0.10535777673	0.013027997366	0.2075645348	0.61005405	0.0639956426
</S>	0.15927174038	0.035309292662	0.05162148054	0.243565603	0.5102318858
