 	i	genitori	non	li	dimentichiamo	mai	</S>
u	0.979418872	0.018766152486	0.00058855698	0.00083703737458	5.6891847254e-05	0.00021717535397	0.000115333856716
g	0.553145754	0.322101912	0.01413294356	0.0097121394608	0.00185897553782	0.0296387373467	0.0694094936547
e	0.47903115076	0.486698094	0.0137640927692	0.0045680266384	0.00032601995514	0.00135198946927	0.0142606565529
n	0.1269676544	0.712303346	0.1095615084	0.0280921415238	0.00353253887212	0.00352258092451	0.0160202594735
i	0.1876611538	0.768161548	0.02256904667	0.007108907918	0.0003593831098	0.000788328776288	0.0133516215863
t	0.09012806328	0.70755166	0.1849100397	0.010678092416	0.00148534178674	0.00075719020604	0.00448958082278
ò	0.02238008302	0.803213752	0.07946450006	0.066896272144	0.0069024032698	0.00168907277764	0.019453916834
r	0.01581234328	0.610810588	0.338618354	0.0334208683	0.000683217868	0.000256256082	0.0003983669105
u	0.0222507097	0.690020102	0.12194428588	0.08571050322	0.00869421359288	0.01881501743	0.0525651792177
e	0.06824741108	0.100175823	0.471275272	0.2337392438	0.01636538742	0.088154964434	0.022041858482
n	0.01360933434	0.044278971	0.3819255621	0.431444672	0.0360476461	0.00862215285	0.0840717065694
è	0.02884532417	0.2596461882	0.11116765426	0.441568886	0.0593696438	0.04553690302	0.05386538647
n	0.014103664966	0.07643021186	0.1271041966	0.630774134	0.0535604664	0.06771077392	0.0303165969992
u	0.064437392741	0.19442227114	0.066875267	0.335827607	0.1340459414	0.137353288181	0.06703825876
s	0.044193156736	0.02254747285	0.0841356186	0.5203244454	0.143269052	0.1210415429	0.0644887308
s	0.0017534596526	0.0092286694	0.0101247708	0.4632373548	0.2402446061	0.207186975278	0.06822416272
c	0.00307137505928	0.00323344742724	0.02198773024	0.3842248566	0.2917996516	0.223703166151	0.07197978657
e	0.077691026342	0.078265265288	0.0048058668312	0.1515838712	0.4657113272	0.1399415168	0.0820011202
r	0.0639005473	0.0148212206788	0.05799150954	0.2239063338	0.217000574	0.30569285206	0.11668695854
r	0.0003868554062	0.00236668488	0.009462405748	0.19322281944	0.318543377	0.3057454971	0.170272346
è	0.0112772048396	0.0092288925112	0.022845767342	0.19219652768	0.2249440294	0.3909772194	0.1485303554
t	0.0024766160514	0.0013049823426	0.00880861921	0.13162231206	0.15445680004	0.611839206	0.08949146196
s	0.00639287435748	0.0042609987844	0.02350223292	0.14873014344	0.2311514189	0.4563535452	0.1296087772
u	0.010019060844	0.0095205884257	0.0840828655346	0.07733162198	0.1531680188	0.5324069448	0.1334709318
m	0.00148969392	0.002281391942	0.070928810346	0.02427990583	0.06048224462	0.524829024	0.3157089444
e	0.00264975488188	0.00129865684806	0.003589425114	0.04613129388	0.04066161688	0.4908594252	0.4148097968
m	0.0121329664336	0.017568018359	0.0228057147246	0.0117351835016	0.02034090868	0.651746648	0.2636705535
à	0.0014255137564	0.000783479623	0.0034714259657	0.01799984555	0.02532296166	0.5052950956	0.4457016888
i	0.0109603320308	0.02688450457	0.017736547646	0.01054019492	0.03326155744	0.734023012	0.166593858
</S>	0.01588466972	0.01460792476	0.069556517195	0.010389366264	0.01876736574	0.3500622638	0.520731902
