 	vuole	pianto	</S>
e	0.966876762	0.02641909193	0.00670414028
t	0.968778336	0.024783461244	0.00643819538
è	0.95950862	0.0165123064	0.02397905402
l	0.943517528	0.050240737314	0.006241711566
i	0.69460934	0.24373577214	0.061654884402
k	0.4132798646	0.3890067334	0.1977134292
l	0.19465996788	0.668594058	0.13674597568
a	0.11971257384	0.5857415898	0.2945458568
m	0.041292794672	0.5510431756	0.407664061
m	0.03224178852	0.703515122	0.264243058
è	0.09201490422	0.52893945858	0.3790456574
n	0.0996436059076	0.22450982522	0.675846578
o	0.21629083152	0.3693022794	0.41440690632
</S>	0.15066014642	0.06693087548	0.78240898
