 	e	che	cucino	</S>
c	0.985362802	0.00939261776	0.003187538122	0.0020570372392
e	0.7033310612	0.06951719952	0.182518334662	0.0446333495532
p	0.600191192	0.2083447002	0.06547968206	0.125984444366
u	0.3548813816	0.322790284	0.268733719	0.053594621548
m	0.15439764884	0.581985804	0.2184384624	0.045178069
a	0.03414322006	0.45461454	0.413492726	0.09774950214
r	0.03849302379	0.1710219168	0.664518914	0.1259661848
è	0.01658292654	0.2544352054	0.502747558	0.22623428826
o	0.0273182272507	0.08045422506	0.85928588	0.0329416944
</S>	0.04545183382	0.07799613458	0.478547216	0.3980047798
