 	non	ho	cosa	a	fare	</S>
e	0.892400338	0.0870874034	0.0142825060166	0.00162765126404	0.00253803408226	0.0020640887882
n	0.5649426255	0.1293228548	0.09299041098	0.004208414414	0.04934177556	0.159193929634
è	0.113673474	0.4861606646	0.02377894014	0.015086844636	0.254053446431	0.10724667593
c	0.0366429142	0.3765556814	0.47311057	0.02196281176	0.04955670616	0.0421712894596
h	0.02767054612	0.4533650707	0.1046514354	0.031911534736	0.26550554272	0.116895875852
o	0.0063263352284	0.17578128902	0.78069463	0.01576463228	0.016270468366	0.0051626536128
t	0.005903551252	0.03924077896	0.627584909	0.26398254	0.0410065946	0.02228165472
i	0.0325512505664	0.01304035468	0.2733013668	0.25019815386	0.36369694214	0.06721194296
k	0.02607499782	0.066255291132	0.0344035376	0.514252166	0.1842550766	0.1747589314
à	0.0061879518	0.01361518186	0.01240374194	0.24922757414	0.460228774	0.258336803
i	0.09294982247	0.052742820308	0.008393136228	0.1994411288	0.580948568	0.0655244714
</S>	0.0503139511	0.121656988412	0.0165644095234	0.03707514662	0.2555470842	0.5188424034
