 	io	non	sono	ancora	pronta	bisogna	venire	alle	sette	</S>
e	0.905034708	0.08356424394	0.010330867486	0.00036873167286	0.00038962521894	7.231705438e-05	3.3834765892e-05	2.5084435898e-05	4.96350124944e-05	0.000131006125873
v	0.94485605	0.0322884812	0.012238954528	0.0028224409086	0.0019645453166	0.00308756103251	0.00069702975771	0.000330390966752	0.000633233583759	0.00108124880265
ò	0.610949988	0.1471294368	0.19476164352	0.030979150962	0.0048863662	0.00757784362	0.00011933579124	0.0004363473081	0.000743692379038	0.00241615345362
e	0.336902078	0.4708867002	0.18522174132	0.00342802696	0.00137941869	0.00054202026256	0.00019814436694	0.00018783259866	9.8243674948e-05	0.00115581491497
n	0.1113108652	0.403173622	0.309832588	0.04720228852	0.005389164536	0.006515894356	0.00429981126302	0.0323272624148	0.0274987528269	0.0524497186264
ì	0.101062192	0.1605538444	0.623520512	0.0371142342	0.0184939272	0.02322849704	0.0008478833824	0.0002219791036	0.00257962428814	0.0323773122018
m	0.03493974782	0.1056718378	0.777937654	0.07359287974	0.0052989236	0.001345474943	0.000281021854078	0.000290374599962	0.000262660510614	0.00037941947151
e	0.00683728858	0.04263375706	0.717629148	0.1256647288	0.0367699248	0.02951658478	0.005654140746	0.0053811518388	0.0053783732332	0.0245349041186
a	0.02483289906	0.07811292698	0.498677482	0.2822367	0.0972010962	0.01189134501	0.0023867600742	0.0027620815956	0.00085223814962	0.00104644499344
n	0.01572549132	0.010683283	0.09599164712	0.62792214	0.175999104	0.0426438616	0.0163474220284	0.0035113782048	0.00264513555786	0.00853053711934
k	0.003587181734	0.01593303206	0.0773826738	0.441345996	0.348995754	0.0974236254	0.00390794084	0.001126795354	0.003590671782	0.0067063422124
ò	0.013995182998	0.02308377306	0.08791696674	0.273493022	0.420932753	0.1441688048	0.00919853894	0.009573998872	0.00830847222	0.009328489046
r	0.005151461462	0.00673979342	0.011877817	0.570838428	0.350956747	0.0443119575	0.0068866063542	0.0022522523624	0.0004775529374	0.0005073960818
a	0.0006423661266	0.005180594486	0.0406728174	0.612909052	0.248682426	0.0711936993	0.005608469118	0.002737656142	0.00376581489294	0.00860714408
p	0.00830872104	0.00894271648	0.00877814405	0.2065375	0.569394372	0.147287306	0.0276846946	0.016241689504	0.004179254394	0.0026455827552
r	0.0007840012858	0.012050538806	0.00688445758	0.1582452656	0.61812642	0.1510741648	0.0311061976	0.00184305933	0.01598117176	0.003904733624
ò	0.00202722622424	0.011796859152	0.007441125602	0.1502988028	0.508789994	0.1986674118	0.023596883	0.015118571246	0.014198684291	0.0680644407065
n	0.00233932262	0.00804611648	0.002556738968	0.0942278274	0.533321718	0.2227524074	0.10351305268	0.027601444948	0.003804303604	0.0018370784084
t	0.00071550716207	0.0088273993239	0.0059710978	0.1611687025	0.346981056	0.3063746628	0.1361301158	0.00770294142	0.004482029148	0.02164650037
