 	non	mi	aspetti	che	non	vengo	</S>
m	0.610870816	0.3877458988	0.000657900666	0.0002164376838	9.496178398e-05	0.000103959513978	0.000310083717768
ì	0.0800537493	0.13550352266	0.7064513	0.02272061042	0.011332059228	0.032415552362	0.011523211234
m	0.3363109459	0.638958949	0.0116490236	0.004100605852	0.001353749962	0.001026262355	0.00660049080436
e	0.1176036584	0.29652331934	0.490915978	0.0359909481	0.010242350054	0.043778562952	0.00494522292826
m	0.18723415484	0.591003458	0.109141618	0.0815540758	0.012835581746	0.011679873021	0.006551207168
ì	0.014959511302	0.02438244448	0.822582292	0.0737115974	0.013367529956	0.0479335126486	0.003063098109
n	0.044511833006	0.2275485872	0.1657795736	0.35274131	0.1934535585	0.013942552342	0.0020225724452
e	0.18442191564	0.26035382414	0.2903567448	0.182437577	0.02447106578	0.044039406684	0.013919449918
k	0.01543079608	0.05842488035	0.05127898528	0.648328264	0.1374091506	0.085245037672	0.00388288844
a	0.027374655336	0.02377470298	0.1994929112	0.514202096	0.0490954098	0.17243281744	0.0136273818
e	0.0103955774	0.0205662946146	0.00522113982	0.431989428	0.4320707606	0.0877588815	0.01199787752
n	0.016394025574	0.0125171577264	0.010247597212	0.2771387068	0.527453982	0.0722111374	0.0840374154
è	0.00548952184292	0.005575378666	0.01201210712	0.22847241644	0.23781240046	0.45504713	0.0555910482
r	0.083505109908	0.020779605202	0.002072952776	0.11118974808	0.3786819714	0.387907026	0.015863562
k	0.00286346151972	0.0016793206674	0.003231221264	0.19983327754	0.0350820434	0.718807684	0.03850297276
u	0.0264672535676	0.0907133101742	0.014971653814	0.07748724824	0.0911455102	0.4874888048	0.211726207
m	0.007668437154	0.008371081788	0.00443906294	0.01141371917	0.0869702376	0.522750268	0.3583871776
e	0.00954090106674	0.0069848052364	0.022734990306	0.02372222964	0.1038253072	0.497879131	0.3353126608
</S>	0.203846281951	0.01998918034	0.0028053952168	0.02377003385	0.0146537856	0.3203776648	0.41455766834
