 	perché	aveva	lavorato	molto	</S>
j	0.996002526	0.003335369608	0.00024365572576	0.00026288871014	0.000155527029652
a	0.924596226	0.03393946532	0.0042529080476	0.013674763295	0.0235365973358
t	0.817649974	0.1711054552	0.002206741368	0.0031220927153	0.00591574278024
ì	0.395956054	0.5772185932	0.010294917928	0.0094311839692	0.0070992106525
ì	0.4209221058	0.5718564456	0.00531437312	0.00173909590848	0.00016804235486
c	0.145870974018	0.770271624	0.0640486234	0.016435670336	0.0033730705286
h	0.0760311328	0.823446624	0.0704305334	0.008178156006	0.0219135566077
e	0.186085298	0.6092482	0.15438576388	0.039059238302	0.0112215011128
p	0.02946286674	0.250045646	0.689282474	0.02021353938	0.010995460166
o	0.012309115648	0.2369727822	0.677486566	0.03362779312	0.039603749926
l	0.02624836256	0.0567197148	0.829379908	0.0656714032	0.021980579
e	0.002914491414	0.02819066774	0.83844485	0.0757342052	0.05471580224
m	0.023726104972	0.01065926844	0.825175256	0.0893259794	0.0511133926
ì	0.004324279542	0.03512088026	0.782508824	0.1053431905	0.0727028248
s	0.0349829181124	0.00887703488	0.61473031	0.2417165526	0.0996931664
o	0.001027800902	0.00893510327	0.545208984	0.3671231844	0.07770491622
n	0.01994867468	0.01379880146	0.1731573676	0.563254454	0.22984071752
t	0.0061879123532	0.011048042932	0.2739391656	0.617130376	0.0916944892
a	0.0031714606514	0.00513830460216	0.20248412448	0.581907802	0.20729828148
p	0.005787743178	0.005070871164	0.05690542524	0.535641024	0.3965949208
o	0.008655439333	0.007176956226	0.059201191308	0.733851532	0.19111486
d	0.0141142207166	0.022689363356	0.039291115012	0.69025117	0.23365408428
d	0.0178108382024	0.00785743149	0.01701399402	0.799238122	0.158079617
h	0.016499035955	0.01506266304	0.11463381522	0.559013908	0.2947905898
ì	0.0112381485762	0.014923244926	0.04219978408	0.67181665	0.25982221
</S>	0.08980788678	0.02797647808	0.01124831686	0.389227576	0.4817397428
