 	che	impara	una	cosa	che	studia	una	cosa	</S>
n	0.95356396	0.04312104587	0.0024691139606	0.00030028958884	7.395803859e-05	0.00018056531584	6.345783341e-05	3.10217345296e-05	0.000196605692529
a	0.747435632	0.0903520008	0.104779414292	0.0119095401022	0.00716060194476	0.00596140687775	0.00429108188988	0.00108620308058	0.027024076775
m	0.304208916	0.602823118	0.0789938842	0.0105758526252	0.0012568827862	0.000836350743	0.000616813450274	0.000327669355107	0.000360498568428
à	0.1674731822	0.703738244	0.1106127244	0.00678016462	0.00226927008	0.000965683515	0.000478677372234	0.000504484384772	0.00717758449378
t	0.02998000278	0.79268791	0.1544792906	0.0200344920493	0.00124966846843	0.00133481108924	0.000163572416332	2.27947113504e-05	4.74554951866e-05
i	0.12482642474	0.71124402	0.1245468202	0.02142076162	0.00870234386292	0.00131863978613	0.000849698995007	0.00055001458978	0.00654130503438
è	0.02360318239	0.268781741	0.60120257	0.08075707528	0.006106213532	0.01659080943	0.00174069676854	0.00042418260828	0.00079350705548
n	0.003380230642	0.10027369956	0.807658218	0.0704230574	0.007164137718	0.003935508416	0.0009511645928	0.00369357133788	0.002520413051
a	0.07466991139	0.1627319622	0.49693192	0.190812242	0.04796114238	0.019627260102	0.00152464001	0.000496526544	0.0052444036884
p	0.01589289618	0.02699101412	0.472774148	0.3517404312	0.066556081	0.05658170972	0.006818762764	0.0011140134358	0.0015309486926
r	0.0581370898	0.01961298402	0.434826442	0.329812584	0.129487192	0.02033464542	0.004716796764	0.000404683869	0.002667619479
à	0.007567313992	0.0181129255995	0.102465164	0.651653806	0.168860681	0.0270256678	0.006715074338	0.00192279561974	0.0156765715002
m	0.007275654162	0.0072605761932	0.2310049684	0.3320505992	0.32913393952	0.081774307712	0.0097712345895	0.00056445604942	0.00116424212156
a	0.00878788133896	0.00718803766	0.1729041029	0.359111368	0.280212748	0.0970591274	0.01026108023	0.015082589948	0.0493930893312
n	0.00841635015	0.00530596581	0.05908624766	0.0821562536	0.509018546	0.30172507	0.02972369274	0.001690432654	0.002877436328
a	0.006454114366	0.0107160244597	0.02953025578	0.1111644516	0.548634074	0.2473595014	0.0150025646	0.002664537394	0.028474493282
s	0.003584594404	0.00291719403	0.0181823262216	0.03415111616	0.33303398	0.540839904	0.05894926206	0.0026734337552	0.005668168175
t	0.0034172081034	0.0052519428246	0.012880745508	0.08191046972	0.4075742648	0.43069726	0.0327967462	0.004305532486	0.0211658351236
u	0.0175066994398	0.002584123091	0.0029719144508	0.16450779516	0.2711418448	0.3086043866	0.0936165944	0.05295640739	0.086110257856
d	0.001089558102	0.0010994955242	0.0066396914884	0.037228254956	0.0934889258	0.675967306	0.1637680284	0.0068690668972	0.0138496359132
i	0.002680719482	0.0044443296912	0.007823416766	0.044662984	0.237478906	0.514849446	0.0871592688	0.02674998012	0.07415095344
è	0.006733838106	0.0033004653194	0.010782142632	0.005924240924	0.0516287456	0.434370607	0.405211894	0.0586178537	0.023430243892
t	0.004553186308	0.001917136694	0.007308177856	0.0033025680832	0.01617090562	0.50948233	0.29948037	0.12927398382	0.02851134142
s	0.0025927922236	0.00083780349366	0.00128655310728	0.0070048033002	0.0393090778	0.464069552	0.317457706	0.122260232	0.04518149599
i	0.0456024133887	0.0042133900689	0.015231896691	0.0416514509071	0.04504104027	0.200555048	0.21817931	0.2864431688	0.14308231848
è	0.00124411368	0.00163828183	0.006380098066	0.005846449004	0.00640222154	0.1755254714	0.435865866	0.204861998	0.1622354964
n	0.00215643634	0.00196788276	0.01091201882	0.001404925688	0.004511352054	0.08573452884	0.44136683	0.32110988	0.1308361732
a	0.0085324468278	0.0010984617448	0.0093081528209	0.0109105663212	0.01033588076	0.0582944176	0.322385506	0.40990659	0.1692280186
p	0.0060142785	0.00759612778	0.01259198534	0.01215510376	0.0130535849	0.06749197128	0.1628571606	0.402810182	0.3154295874
r	0.0191188019324	0.0064580950308	0.0130093090411	0.0105315017432	0.027248543588	0.01883245184	0.0791603004	0.53402242	0.2916185546
à	0.00621167626707	0.00232127794861	0.00300234326909	0.0018986841474	0.0049316666658	0.00839040487	0.0478425714	0.712362786	0.2130386296
m	0.001526033652	0.0024482853146	0.0048418783786	0.0037690385032	0.004644088274	0.008059257494	0.1312139016	0.60190773	0.2415898084
a	0.00325159545406	0.00159354627846	0.00341383451144	0.0014145125868	0.0036996510238	0.00815064243	0.044372978	0.799989276	0.134113998
</S>	0.015197966584	0.028164448436	0.030092481698	0.04238198918	0.026588746266	0.033502892072	0.07204200998	0.223219364	0.5288101486
