 	la	donna	pulisce	la	casa	l'	uomo	no	</S>
e	0.971933414	0.027143129512	0.0004801795476	9.6190679894e-05	5.1318444334e-05	2.30326104392e-05	7.5773267364e-05	8.41304150986e-05	0.00011283903195
j	0.542257078	0.4231337272	0.01104884298	0.002640607545	0.00103358798472	0.000256485910605	0.000435929565864	0.0129698135575	0.00622395732852
i	0.447142036	0.4781412634	0.0436353212	0.004433161692	0.001880329805	0.00051852022588	0.00072658623062	0.00374733908318	0.0197754670212
n	0.2086634038	0.705105752	0.02927361352	0.001503024168	0.0009174719746	0.00323009543405	0.000361586420816	0.00297947715039	0.0479655859228
è	0.1175400218	0.679983392	0.16779497652	0.008144103926	0.0067473607	0.00093574161146	0.00232552247162	0.0100028821852	0.006525955952
k	0.03277339242	0.8056763	0.1562824279	0.004750514576	0.0003266599974	6.27063326e-05	1.904712474e-05	3.13460888828e-05	7.7636349744e-05
a	0.05432425066	0.779424776	0.1295363752	0.01354425684	0.004324455974	0.0015975738492	0.00376384407	0.00366384386238	0.00982065276098
p	0.02235701782	0.0855605552	0.845620044	0.0327279482	0.007712370292	0.0013307010874	0.0014151944232	0.0024835042593	0.000792617939
u	0.07548506452	0.2180055051	0.578416922	0.0989922484	0.01398631188	0.00196429335	0.00139033481	0.010634614082	0.0011246313453
l	0.011759801508	0.05073107668	0.840568324	0.078686135	0.00775870056	0.004007122714	0.0008746402544	0.000884648066436	0.00472958137118
i	0.007567896014	0.07590391272	0.646662148	0.192904556	0.0422600514	0.00436339942	0.00344777293	0.0089915898428	0.0178987346737
z	0.0102920419912	0.013063314768	0.701412078	0.236071708	0.0257554675	0.006582576726	0.0024281209026	0.0014620887539	0.00293259935639
z	0.004108204586	0.027847573326	0.48381102	0.36219555	0.0755431836	0.0071918499	0.0053347343	0.012271585394	0.021696336095
è	0.018274096972	0.0464082676946	0.1694729482	0.52486501	0.1978619892	0.0310830998	0.0029996502	0.007348378658	0.0016865973502
i	0.004440981001	0.00310894074	0.264185108	0.606387412	0.0878392414	0.02684763996	0.005802234924	0.0008143118344	0.000574161775
o	0.01877164098	0.00791534496	0.073248387	0.440901032	0.31706442	0.09220917932	0.04070736832	0.007036910034	0.002145685162
s	0.01117579926	0.01267888538	0.01841915928	0.263190676	0.45585334	0.1943143848	0.01542681882	0.007989158364	0.020951764973
p	0.004173467671	0.008319789945	0.028437615252	0.260162096	0.506434998	0.1039459948	0.0373105132	0.027585913532	0.0236296061237
ì	0.0161172725953	0.0235006944681	0.01379819352	0.1906552944	0.577860512	0.1455993858	0.01166444518	0.012570939652	0.008233269706
t	0.00481894675	0.00133750276	0.013089251296	0.1426328334	0.520680236	0.223853706	0.06309228608	0.0138956524046	0.0165996098122
i	0.005735072096	0.002236792044	0.01405081528	0.2216872704	0.401651308	0.212633194	0.0292527898	0.03804008146	0.0747127010412
o	0.0158021120726	0.003185490714	0.0122600956334	0.0319446698	0.2169533308	0.49484865	0.1818820302	0.024446807228	0.0186768138
à	0.00583855066	0.00852226978	0.00707250239	0.00989248028	0.1425825374	0.394304013	0.309851068	0.05143301156	0.070503569758
n	0.006513111022	0.0044969810488	0.0067969237428	0.007338647184	0.066539097	0.30848009812	0.415803792	0.1141635932	0.06986779394
t	0.0192862083906	0.00779403147	0.0058911135994	0.01527221598	0.0877224654	0.191036326	0.277402992	0.340360489	0.05523417662
r	0.0221475625324	0.00728668902919	0.00588408789341	0.02885217456	0.1075720076	0.422412794	0.218733025	0.0895136378	0.0975980071
e	0.014819962247	0.0022795848606	0.0037605992156	0.01077579498	0.0676448764	0.431537494	0.292839258	0.1234761116	0.05286629472
p	0.003666833726	0.00139015232	0.004968680834	0.00391937454	0.01966707804	0.1170707698	0.393025388	0.2172050594	0.239086666
o	0.00165477616	0.0013725970362	0.0015902185532	0.002508513564	0.01002758618	0.04648023014	0.2062294268	0.48472518	0.2454114108
d	0.0044391698254	0.0030816611846	0.0040099216234	0.0054347155864	0.0070143134186	0.02233167762	0.174701308	0.505550644	0.27343659
è	0.003014918418	0.0016896262332	0.0025823792574	0.00233872722	0.004858901112	0.01462827682	0.1245126848	0.643207614	0.2031668432
g	0.0138360285711	0.0018557253404	0.0013588786968	0.0030307319404	0.013214622284	0.0272794994	0.0691120568	0.600453096	0.2698593245
g	0.00584327460568	0.001836040846	0.0016635794192	0.001747061161	0.0031063385798	0.01029804358	0.0883264942	0.631117732	0.256061422
h	0.0487497013452	0.007079843498	0.010611267448	0.015176083352	0.01884662963	0.04958741476	0.1765106206	0.445906825	0.2275315768
e	0.0243215637875	0.0325779687506	0.0116938010485	0.00697537084	0.01530430428	0.08337992632	0.2251590064	0.372923544	0.2276645244
</S>	0.00614087168	0.006841891502	0.014424445736	0.007438593004	0.0260979619	0.02945482286	0.049452187	0.2348893285	0.6252598852
