 	il	morto	vuole	pianto	</S>
t	0.982764602	0.009537910874	0.005211163779	0.0022398835949	0.0002464165606
o	0.915041234	0.06103297252	0.00596192375	0.00726826027934	0.0106956323831
n	0.5948172072	0.34189664588	0.024245454154	0.0378559611396	0.0011847122312
a	0.4443037326	0.488595114	0.03440320492	0.0022753239604	0.030422648344
p	0.3652293788	0.60351601	0.02525985404	0.0046516330266	0.00134311809834
e	0.06114415264	0.868026802	0.0585388102	0.0016111203	0.010679132402
s	0.17205522854	0.782119416	0.0400516514	0.002932254784	0.0028413987192
a	0.012320002466	0.884112874	0.0868791504	0.004490987672	0.01219698051
m	0.07361622808	0.625009668	0.279167038	0.010033774426	0.0121732687452
m	0.00685280626	0.67267766	0.211774282	0.0735520702	0.0351431758
è	0.056765827232	0.4703510158	0.3035457408	0.042040899172	0.127296546154
n	0.041439599482	0.285501324	0.511216486	0.0835758455672	0.078266768804
o	0.011590423472	0.603160688	0.226631328	0.083349880581	0.0752677020716
t	0.15300914402	0.0615483453	0.437169454	0.1777117136	0.1705613448
è	0.001959314569	0.01840970668	0.707628372	0.2010621618	0.07094045568
l	0.018380447294	0.007861524	0.738196692	0.14041903134	0.09514233188
i	0.0019696902368	0.0132070628	0.5976297892	0.2555158686	0.1316776024
g	0.05577913013	0.036306061082	0.1414444934	0.28382715296	0.482643154
l	0.066325238858	0.01554760746	0.15869798	0.491383336	0.268045833
e	0.025875562367	0.0195875850044	0.08737036016	0.540051049	0.3271154516
m	0.0265566611	0.035186979454	0.04179187296	0.4414817654	0.454982722
m	0.0156565277854	0.007686609697	0.0422916122	0.681577446	0.252787812
è	0.018268781876	0.0624713985248	0.06711826814	0.39961174572	0.4525297964
n	0.07761535582	0.024415615368	0.10828760916	0.31406829756	0.475613124
o	0.073840109988	0.0350201291972	0.073296564312	0.415484928	0.402358292
</S>	0.07385122526	0.03526478234	0.06894387034	0.0913960327	0.7305440974
