 	vengono	vestiti	</S>
è	0.98503625	0.008932590638	0.00603118006
r	0.936457652	0.049236104	0.014306256052
k	0.630259866	0.2490263244	0.120713802741
u	0.5186310256	0.454416456	0.02695248236
t	0.4190853326	0.4946543488	0.08626032144
t	0.04157148392	0.894524372	0.06390415896
e	0.0981626914	0.86431465	0.03752268032
n	0.07118965318	0.60320175	0.3256085932
d	0.016431112504	0.814917606	0.1686512871
i	0.06543800926	0.56814927	0.3664127268
m	0.024515700148	0.531662298	0.4438219792
è	0.00992518396	0.687504248	0.3025706016
n	0.06945754922	0.5002026828	0.4303397636
a	0.145688602256	0.5849105508	0.2694008402
</S>	0.17079330042	0.0653982318	0.76380847
