 	Maria	ora	sta	vicino	a	me	ma	sta	dormendo	</S>
e	0.969952278	0.022601604104	0.0016278659125	0.00432867287412	0.00037456493164	8.539829076e-05	5.67488297266e-05	0.000147912357556	7.6127498516e-05	0.000748833010394
M	0.91472319	0.082518271	0.00145458474038	0.00015357070726	0.00020932678779	0.00017904761931	0.000133927692382	0.000267988879761	5.72520712582e-05	0.00030283575269
a	0.564128334	0.373656962	0.05588992362	0.0040932511036	0.0004948316678	0.000176002948	7.931798052e-05	5.646338608e-05	0.00100957210121	0.000415347814752
r	0.646603624	0.1954382348	0.003348907596	0.00289389571626	0.0023765285598	0.00474095622086	0.00982679281894	0.0110107534903	0.00248956765537	0.121270746139
ì	0.192401149	0.606264008	0.15787755212	0.03393965958	0.00550861073	0.00099765526638	0.00026195002064	0.00022785767896	0.00202592887564	0.000495601828624
a	0.132711411	0.716301256	0.117007266	0.0262839179286	0.0047658260056	0.0012513125526	0.00072043865688	0.000283969726033	0.000282013656738	0.000392590301954
à	0.0163898574	0.846248132	0.1202495598	0.00541613712	0.002283875316	0.0018728182688	0.0021091026192	0.0020443222268	0.00197160812011	0.00141461148227
r	0.00853510438	0.75901247	0.2016606982	0.01901532576	0.00196966046	0.001439097468	0.0012011320996	0.00162152945936	0.00058942961506	0.0049555286764
t	0.002274700192	0.4582135964	0.48671947	0.0324739736	0.011145320472	0.00490488297312	0.00112404428999	0.000464030418012	0.00074974994286	0.00193026590382
e	0.014801094198	0.208600362	0.490242354	0.1490759874	0.05184341331	0.0251228429926	0.0233608281651	0.0260301509186	0.00569799953686	0.00522497399646
n	0.002446611332	0.04968318442	0.713093768	0.207013933	0.02029385784	0.00266825824	0.001563531188	0.0018534853282	0.00104588470926	0.00033745938068
a	0.0072926610703	0.07167995954	0.74017838	0.12710348	0.027830415632	0.011787722526	0.00320179961414	0.00100812729781	0.00677591689466	0.00314151226405
s	0.00477016688	0.00814074388	0.410733416	0.4463809826	0.096029531	0.01599352648	0.006631598548	0.0022919675106	0.003994571785	0.0050335057874
t	0.0043187424424	0.022534219286	0.510227284	0.2922268932	0.1150250438	0.02948948576	0.005260647442	0.0020943484024	0.0156219487215	0.00320138049954
e	0.00117885603017	0.00258607376966	0.2966161986	0.526539534	0.1078274656	0.0344296732	0.00989158032	0.0094542473534	0.009537289865	0.0019391011698
m	0.0008509207092	0.003199501208	0.1609586965	0.580947334	0.180304904	0.0542676517	0.014452584294	0.0026972239021	0.0009420098289	0.00137919225843
b	0.0019926260328	0.0069931966392	0.183297022	0.58775927	0.1490782426	0.047310509	0.00848718958	0.00459546057	0.003505992414	0.006980483306
r	0.0041599129328	0.0017904039932	0.110192572196	0.696644876	0.1218018014	0.0394861634	0.01705577348	0.003968823324	0.002044452611	0.0028552404714
ò	0.0215333625784	0.0138185945696	0.18307152638	0.5599821036	0.1381671596	0.0420398893	0.01838423941	0.008145799064	0.011355426888	0.0035018935368
s	0.004922368614	0.0031696547728	0.04508288428	0.2953203932	0.385299058	0.200001683	0.0563979304	0.00533427618	0.000747052814	0.0037247008374
e	0.0028880034336	0.0058539615458	0.06091971352	0.422709736	0.15131605	0.2244296152	0.0489514662	0.01468428026	0.010951697992	0.057295502296
m	0.004674450098	0.003267613592	0.010039787682	0.0593817888	0.2432619068	0.455368016	0.181900225	0.0264395422	0.009978585524	0.00568806874
è	0.001960650258	0.0072825488146	0.01265787856	0.1403301462	0.1399218508	0.44405156	0.133858476	0.0610769182	0.01273541736	0.0461245599
n	0.000684418446	0.000440046612	0.001678172103	0.01430781134	0.0986626232	0.43541872	0.379550584	0.0542339486	0.00515443046	0.009869246124
a	0.0053104673251	0.0043842233688	0.00554108173	0.032999153	0.084061029	0.435596986	0.1606661452	0.1141342564	0.0834827662	0.07382390404
m	0.00380121621	0.0031000653704	0.0084802042524	0.01882428929	0.0517490306	0.1885152746	0.448138914	0.201169174	0.04880329354	0.0274185681
a	0.022053377296	0.0073758199504	0.006803096684	0.020032561288	0.02073857084	0.2085901894	0.17918516	0.281316959	0.1363488442	0.11755543144
s	0.003765140786	0.0027029921828	0.014795612954	0.021920835704	0.05283377478	0.091774681	0.310142514	0.319602988	0.1006008994	0.0818605524
t	0.0027764654988	0.0066938304425	0.0032286969876	0.003867292608	0.006372604148	0.0612650754	0.115509584	0.402394588	0.2886025508	0.1092892974
e	0.00131785829636	0.00041112901178	0.00139174139828	0.0028399967172	0.009896145612	0.06352411108	0.1302262038	0.371211384	0.2018734606	0.2173079852
p	0.0059596346232	0.0020274218706	0.005390412664	0.009841885112	0.023469177602	0.0518319194	0.1136462638	0.26478355	0.2624840728	0.2605656736
l	0.0031323618087	0.00272866657388	0.0012333194068	0.0091599480336	0.001682283819	0.01482332186	0.016295554	0.198254954	0.51366631	0.239023276
ò	0.00994921656	0.00275268757854	0.0036120320266	0.00419672177	0.009886538792	0.022746005026	0.0354255144	0.2503168854	0.39365789	0.267456495
n	0.0129725137266	0.0030515231042	0.0034383791092	0.0024431499152	0.00742460893	0.01230299706	0.0314768754	0.152177338	0.587091014	0.1876216122
n	0.001292263945	0.002559922262	0.002855945062	0.0008398543314	0.001221172708	0.01090449258	0.02162200752	0.2364632162	0.596928988	0.1253121114
i	0.120858647039	0.0274835913772	0.0115983976314	0.0025369665694	0.0038453553616	0.0152280725	0.02249469517	0.1182960374	0.40360977	0.274048478
</S>	0.006797869268	0.001888885536	0.004501260274	0.01274797738	0.02022646809	0.026881856262	0.043113121936	0.04170964	0.218602034	0.6235308888
