 	quella	famiglia	non	ha	da	mangiare	</S>
c	0.975092628	0.022961677364	0.0012813970376	0.0002945015448	8.4417982352e-05	6.1001128048e-05	0.00022438115056
ì	0.796214226	0.18110041246	0.0017880640642	0.001412506168	0.00090960568968	0.00296372825093	0.0156114438031
s	0.7261322	0.239240902	0.0038217376508	0.003151464026	0.00100383847664	0.000621095392843	0.0260288026808
i	0.519596803	0.4536444592	0.0059143779026	0.009480507674	0.00183142389636	0.00499963129249	0.00453285994375
f	0.3462758432	0.609287495	0.03248936834	0.006297503494	0.0035702920742	0.0013883114616	0.000691185725034
a	0.1644812402	0.689737412	0.0827055904626	0.037505350096	0.0040801293352	0.0158901383196	0.00560015739012
m	0.222471832794	0.636664086	0.119849712	0.011192268746	0.00414200161334	0.00191765515195	0.00376250992325
ì	0.00971722766	0.802948338	0.10263380234	0.03263587232	0.00625914148	0.037247059112	0.00855857696
g	0.035771356832	0.550249364	0.3421919386	0.0464071479	0.015748916066	0.0027932911494	0.00683792744762
l	0.05240259024	0.57044647	0.0968254344	0.1258648738	0.04139829209	0.087551379634	0.025510964644
i	0.148675415174	0.3251263094	0.2417154174	0.2108015462	0.0401876899	0.017766066996	0.0157275693466
a	0.044663679936	0.1037850218	0.3791068704	0.321923248	0.1129370878	0.0255004894	0.01208359591
e	0.03900757356	0.0739186262	0.235764088	0.463239782	0.1280611514	0.03138422022	0.028624527952
n	0.049690573	0.0490965224	0.0872138718	0.427226792	0.2782789988	0.05497529986	0.05351794612
è	0.0121372471674	0.034553093404	0.02526424482	0.3195804908	0.3129028948	0.1722342708	0.1233277504
c	0.0170389782	0.005865432706	0.01103059674	0.3182929292	0.486199418	0.1321196441	0.02945299042
h	0.031274467035	0.007483151634	0.00757125833	0.23130132888	0.30533294866	0.285291202	0.13174563114
i	0.0286572841156	0.00400025176	0.005422593664	0.18391462462	0.24443383966	0.3924773656	0.14109406824
n	0.005464666062	0.00505243802	0.004682299508	0.08198252696	0.309258352	0.309903136	0.2836566032
a	0.0051400747712	0.0081833003972	0.0023777098868	0.01459598195	0.2224423181	0.496506636	0.2507539804
f	0.008509670172	0.00263818738	0.003687661668	0.021625943212	0.0675300174	0.653013516	0.2429949892
à	0.00315790294	0.0030758573932	0.0024787211548	0.003688627626	0.0579897839	0.59675233	0.3328567496
i	0.0120453335548	0.00110844592646	0.003196929566	0.00645527687	0.0241158662	0.821826952	0.13125121464
</S>	0.01699260544	0.01823261394	0.012290621194	0.095922925732	0.04548377024	0.226365561	0.5847118992
