 	non	ho	dove	d'	andare	</S>
e	0.89524686	0.0827323454	0.018463026514	0.00161063560632	0.00043451146684	0.0015126355559
n	0.548778879	0.203591324	0.0692994474	0.00742232064	0.019312351144	0.151595659048
è	0.1294726178	0.54171416	0.16913413988	0.0120170092	0.0759518142988	0.0717102645766
c	0.04136302172	0.55118999	0.373129726	0.01924489694	0.0083278655828	0.0067445329958
h	0.02640582972	0.488136361	0.2091586132	0.01073442646	0.14491407448	0.120650645005
o	0.0067262078516	0.239254095	0.7374973554	0.00683049376	0.00825510091	0.0014367620928
p	0.002645951394	0.022136042	0.877872902	0.0852408162	0.00910393498	0.003000351308
u	0.046638203934	0.0330604771	0.686942082	0.0758713417	0.14685331656	0.010634593016
è	0.01385408952	0.0208040693	0.0368308824	0.75677738	0.1134063032	0.0583273226
n	0.002573235	0.00377341876	0.00716093776	0.657887512	0.2859434202	0.04266150204
a	0.012387070517	0.0133261952252	0.02204796282	0.53144783628	0.3531497162	0.06764121594
p	0.01584737038	0.019451349412	0.031427031578	0.1703627308	0.628942094	0.1339694566
à	0.007447081274	0.009612778918	0.004706464504	0.04677703716	0.702170468	0.2292861666
o	0.0190454906697	0.0091685951374	0.0100095847126	0.0922165947	0.811336448	0.0582233294
</S>	0.06018230884	0.03943769832	0.0331203473472	0.060401735476	0.363283569	0.44357434
