 	devo	comprare	il	pane	ogni	giorno	</S>
è	0.985642658	0.011241064	0.0016167990244	0.00016221711936	0.00018569674682	0.00050989539272	0.000641685181224
n	0.750404826	0.196728935398	0.012410767125	0.0052454276666	0.0051761982778	0.0014564874019	0.0285773845179
a	0.5027677202	0.45014222994	0.0104084376236	0.0017081753072	0.0009415170676	0.0034201917363	0.0306117028173
v	0.32101639876	0.6183836804	0.0449831288	0.0109002404884	0.0031915099956	0.0013453248434	0.000179694272
o	0.08902158074	0.760489298	0.1245547228	0.009314377212	0.0019177630414	0.0030456886318	0.0116565457523
r	0.03308147092	0.517731796	0.2515022324	0.030546322238	0.0055357377	0.0169819627286	0.144620431505
à	0.036829585058	0.500547734	0.2796602104	0.1085270392	0.013256324356	0.017111086576	0.0440680179022
s	0.02488915398	0.196351552	0.551981836	0.204672631	0.01414239076	0.002177973368	0.00578445239332
o	0.00411183504	0.2537223286	0.579527828	0.11802932323	0.00710502161	0.006659597726	0.0308440912983
t	0.02579612061	0.04843357894	0.546749416	0.3217118336	0.036458606	0.01424156253	0.00660887884
o	0.0158313582804	0.02555936352	0.402653546	0.51676112116	0.0181936946	0.01052735836	0.0104735563052
t	0.027777286784	0.0165033603	0.2482543804	0.473547348	0.184256038	0.025381725026	0.024279887186
s	0.024795920662	0.0082581501	0.1644196706	0.6417704108	0.0694560764	0.05360293786	0.037696820554
o	0.0021148560762	0.010332034606	0.23526029766	0.6391995734	0.0472115028	0.02253443016	0.0433472846734
m	0.012192238642	0.007533700672	0.0296401305	0.348013308	0.465739742	0.0831007187	0.05378014726
ì	0.006229823458	0.00455597028	0.0681296746	0.622337818	0.151729166	0.0475307574	0.09948677886
k	0.003433924092	0.00120248767	0.007578517778	0.1325675428	0.660687894	0.1622730504	0.03225661674
a	0.0015811963766	0.002464089848	0.01472638232	0.199244155	0.390282624	0.258824704	0.13287685998
i	0.02005777462	0.0045296324628	0.0227635581536	0.06185524552	0.451679708	0.360658418	0.0784556662
m	0.004890651648	0.009520757324	0.007082235042	0.009531209584	0.1259209786	0.659815704	0.183238463
è	0.0015335073532	0.00237349826	0.00246375027	0.01908786532	0.2035949168	0.541829612	0.2291168304
r	0.0072383255928	0.002450638489	0.001399548656	0.006174326008	0.0858161896	0.845445774	0.05147520748
i	0.001638043879	0.0011648754684	0.0030213917064	0.0027390083544	0.03608391012	0.78961775	0.16573502844
</S>	0.057665735758	0.00540973933	0.020862422092	0.009014617432	0.04705888992	0.24668758	0.613300987
