 	non	sono	andati	</S>
e	0.93838317	0.05417704852	0.004673835006	0.002765990234
n	0.5458951128	0.2344827278	0.0370352406	0.182586934106
è	0.2529110335	0.591689534	0.078168235	0.07723118462
c	0.03653894494	0.907377288	0.0399371248	0.016146628011
h	0.01390461843	0.5669071968	0.2951550746	0.124033117052
u	0.034073249428	0.617987262	0.324067524	0.02387192252
n	0.01801654494	0.379505204	0.48502999	0.1174482534
e	0.046375748654	0.2121829473	0.6572505908	0.0841907071
p	0.041120767324	0.14587919768	0.557795192	0.2552048588
a	0.008190181148	0.01093528204	0.718872574	0.26200196974
m	0.049491674878	0.046923437628	0.632918592	0.270666296
è	0.0319852360302	0.006532880172	0.703418226	0.2580636426
n	0.0264030640932	0.08280519038	0.56407118	0.326720551
a	0.076833529451	0.028871918764	0.722351546	0.171943014
</S>	0.040481653182	0.110596100952	0.0824251078	0.766497152
