 	lo	sentii	che	arrivò	</S>
t	0.984589622	0.00425394769	0.0082821249441	0.00210640238422	0.00076789898292
o	0.87262397	0.06035324868	0.0096109863412	0.029545821048	0.0278660043579
n	0.25449821032	0.632725726	0.08203602556	0.028267408764	0.0024726600578
ì	0.2484003681	0.2926882052	0.2464979576	0.152975503092	0.059437986788
k	0.0460522508	0.699993564	0.2306853576	0.021456143512	0.001812709568
u	0.19929673328	0.59063153912	0.14879025328	0.03032566528	0.0309558227152
s	0.11001326212	0.335715944	0.474484762	0.07214382146	0.00764219352
a	0.01206431162	0.229633196636	0.45318369052	0.2751625996	0.0299562033808
k	0.023080518356	0.0856521458	0.517335369	0.258313566	0.1156183864
a	0.013765776458	0.03833339258	0.3767752656	0.421831522	0.1492940278
ì	0.01992005744	0.03653816772	0.21016411488	0.577189384	0.1561882646
r	0.0081696584926	0.011075736048	0.036641774304	0.874041312	0.0700714958
t	0.003426148212	0.009475421576	0.0343294094	0.775030058	0.1777389869
e	0.00934995982	0.009765838514	0.0245869603	0.811625406	0.1446718308
</S>	0.00814781231	0.01479799694	0.02891240832	0.460877336	0.487264436
