 	se	nella	nella	pasta	voleva	sale	l'	avevo	messo	</S>
a	0.905902162	0.0864826116	0.003940065732	0.0009897991866	0.00072924973574	0.00120878488958	7.18389655e-05	0.000255909264306	0.000301233685	0.000118360117665
m	0.27012649308	0.639981056	0.0437265954	0.0073611912794	0.00271141193752	0.00198989136113	0.000384299133444	0.00109560703442	0.00217902506428	0.0304444319189
e	0.03949215108	0.73014463	0.1158054328	0.040619313894	0.057993837462	0.001825862798	0.0002755958475	0.00121350909886	0.00486319936584	0.00776644074486
s	0.0096746040524	0.725629448	0.1464354682	0.004108012632	0.0107786927882	0.0022765626868	0.0328503226637	0.00339430786811	0.00508246595213	0.0597700873866
t	0.01240113492	0.685674206	0.19621366	0.0626015509	0.01371736696	0.008049671294	0.0002250090298	0.00218356596474	0.0104693003651	0.00846454507159
i	0.006816861114	0.528203218	0.388006578	0.06129388	0.008046185496	0.0013215866	0.00088349749628	0.0008612164511	0.0044932380853	7.3747767768e-05
p	0.00167899166	0.363779924	0.608579914	0.02209120136	0.00266716334	0.00028096332	0.00045351400772	0.000158248036364	0.000255796052621	5.42759622256e-05
à	0.066789084646	0.0970503832	0.526574484	0.1021709464	0.1479849191	0.01178209564	0.000600508824	0.004869057524	0.0408930026176	0.0012855291658
s	0.004281544562	0.09361891	0.740504174	0.1303299786	0.02902207197	0.001054879424	0.000280143294	0.00031290793692	0.00033356021698	0.000261842180752
t	0.0079752991	0.0897197428	0.4755519406	0.3236584568	0.076133217	0.00802211642	0.001145870479	0.00123159299814	0.00230892426979	0.0142528206699
a	0.02260067896	0.03253655792	0.40320951	0.40232023	0.11631450232	0.00353652085	0.0163866548187	0.00156815665439	0.000732345886448	0.00079484001589
ì	0.011031879248	0.01762705926	0.2745853724	0.260406739	0.383893083	0.028727404	0.00911175912	0.007632305896	0.0042616196199	0.0027227763266
c	0.007503002478	0.00324829514	0.0309070914	0.3002314868	0.529027192	0.10827593	0.003947621286	0.0114003205928	0.00457480974068	0.00088423784742
h	0.030350051522	0.002764490892	0.034747584188	0.2432814156	0.5450287992	0.118730371	0.002346235726	0.0035336543782	0.0119964184186	0.00722095538728
e	0.023527045198	0.004235580734	0.0333262218	0.2607794434	0.5824243604	0.0621220474	0.0247995257526	0.005447054149	0.00198422820943	0.00135446320539
t	0.00524835862	0.001995314706	0.00319446688	0.08219456008	0.565540688	0.27920515	0.0395095098	0.016502585376	0.0031110005636	0.00349839312628
e	0.0082883264384	0.002571368181	0.006448813812	0.0901056485	0.5275011	0.2429631	0.034401664074	0.00832671875	0.0605979058102	0.0187953570675
l	0.001316709152	0.0026714207308	0.002124459464	0.004137417938	0.449435752	0.411745396	0.0933958164	0.026676083792	0.0058403836928	0.00265654434904
ì	0.0067151705568	0.0012147792726	0.002169531792	0.11200549972	0.374792922	0.3752528568	0.0611939388	0.01593331844	0.025179310804	0.0255426259386
s	0.0253919530868	0.00255279184	0.001068851952	0.005290769086	0.372722648	0.292615096	0.1875882834	0.0947819116	0.015816871226	0.0021708583552
o	0.00126672516	0.0017112243292	0.001257868718	0.045108660152	0.4509114988	0.352195798	0.1057766834	0.01337872704	0.0113612099506	0.017031599597
n	0.0053149047	0.013256410702	0.0048725494472	0.00148681242	0.0885272705	0.256754387	0.420902252	0.17558772272	0.02581649736	0.00748120332
t	0.004114715382	0.0024145338078	0.0017082349184	0.032222040292	0.1763570536	0.400027906	0.2839742394	0.0448952618	0.03838054342	0.015905447448
a	0.01715475329	0.00176427319924	0.00481949113	0.004036577442	0.17229747566	0.2463319106	0.464419992	0.03656968986	0.01866709592	0.0339387358292
à	0.000979333618	0.001677634156	0.0011429465354	0.000943560459	0.0415287013	0.2055224924	0.464141496	0.241544997	0.03438623318	0.00813264322
l	0.004206958558	0.001505228558	0.0013340840798	0.00135927057	0.04266317674	0.2596595934	0.22055961292	0.365732752	0.07777625406	0.02520306818
a	0.00152173990544	0.00239564320554	0.0008303983072	0.002429217522	0.04809917428	0.2708056298	0.196712558	0.31810483	0.121676361	0.037424440311
t	0.002442050956	0.01225564503	0.005135878608	0.0006122430992	0.00754116358	0.027121050508	0.2211190554	0.47216453	0.1596785742	0.0919298378
ù	0.0063320184672	0.0021243229184	0.00111789850126	0.00235400125148	0.010961961412	0.0785825232	0.1892052522	0.340623714	0.2833436132	0.0853547074
c	0.0006942834744	0.001430874541	0.0003863457986	0.000431606807	0.0018393576054	0.015086948626	0.09977242368	0.427844758	0.32709322	0.1254201901
h	0.00966953996966	0.0100344485715	0.00353173433788	0.0101155525355	0.0098613339926	0.029892607418	0.08745558628	0.305973228	0.403926262	0.1295397112
a	0.0344811714426	0.00290378931292	0.0126917971666	0.0027893848238	0.009335819478	0.030203598596	0.1247315844	0.2356235164	0.381389748	0.16584957766
v	0.000612654594	0.00091449976	0.000543393646	0.000833819167	0.0057050732688	0.0116755294174	0.047408504342	0.23102818184	0.3231518264	0.378126537
à	0.004939998118	0.0013479036018	0.00114213084714	0.00250965651598	0.0021423258277	0.003458361866	0.01524693186	0.0593696774	0.594840782	0.3150022286
l	0.0005689592636	0.0034400508124	0.0011568063972	0.000832354159352	0.00514747711866	0.00653909752552	0.031550998636	0.1393828667	0.650826838	0.16055454522
o	0.00204280429927	0.0038943256691	0.0030161582854	0.00759950445496	0.0229343460936	0.0075169797882	0.016194447148	0.10145051568	0.586507652	0.24884325814
n	0.00102300068	0.00636399286	0.003921635734	0.0047375772284	0.016427640254	0.0163836260514	0.027517878612	0.110181848052	0.33191356	0.481529245
t	0.00297160483	0.0037466765528	0.0021122110817	0.0029534045349	0.0031336424724	0.001133031648	0.003410856852	0.01879845984	0.759533992	0.202206124
a	0.0363860530934	0.0023712171152	0.007880739232	0.0041167569304	0.0040749034976	0.0021485966268	0.022623883764	0.04587240374	0.593888138	0.2806373556
</S>	0.0019684125864	0.00345019698	0.0021069318648	0.00234585813246	0.0086760232758	0.00958818355566	0.030011353545	0.062307636048	0.25408327	0.6254621332
