 	io	voglio	che	Maria	venga	qui	</S>
e	0.98177394	0.01542897106	0.001075771703	0.00133948281146	7.479909994e-05	0.000119472504072	0.000187567607968
v	0.897494102	0.084234694	0.012687354152	0.003226131002	0.00035475912616	0.00054037123147	0.00146256836786
ò	0.4239998578	0.496359586	0.04714938748	0.025914162406	0.00061833714	0.0009268811348	0.00503179579516
t	0.3478714058	0.564426388	0.0810560058	0.00395951078	0.001226904404	0.0002541885996	0.00120560199606
è	0.1884074698	0.635733926	0.0887814884	0.02709139528	0.0113951305494	0.0067742077758	0.0418164029537
l	0.0695503972	0.762078792	0.1489817088	0.01284521654	0.003870924796	0.00217405911561	0.00049898033794
o	0.0184820096	0.693242014	0.2060359862	0.05871589696	0.0094973947544	0.006389035858	0.00763771866092
n	0.07845096304	0.2081820066	0.568739954	0.06160413474	0.04069464756	0.0306186235687	0.01170965737
a	0.01130560331	0.2432350932	0.468641878	0.2167131762	0.0234714067	0.029995640984	0.00663713407
r	0.0462836072	0.04574454234	0.47221823	0.2997737896	0.0799272986	0.035712474484	0.0203400219104
t	0.004891085992	0.0764445734	0.403680678	0.3560018212	0.0743597496	0.07184972257	0.012772378328
i	0.011853086424	0.107082758028	0.401870676	0.347072061	0.0619366092	0.03394907324	0.03623572486
e	0.041910341568	0.0268142206	0.2268006274	0.410599832	0.198255685	0.07202294044	0.02359630148
M	0.00748174734	0.0085639462072	0.03318820052	0.581747394	0.3282738504	0.029751789766	0.010993089946
a	0.003374097155	0.00903240866	0.1050525906	0.477472734	0.214406318	0.15615849096	0.0345033206
r	0.066013982716	0.02597721638	0.129291784	0.30175644	0.2981912494	0.15198066454	0.0267886616
ì	0.002574087116	0.01211302119	0.015537395	0.3350623997	0.29681353	0.2483950752	0.089504498012
a	0.084092440362	0.04956176909	0.10586436562	0.0431739318	0.47124730288	0.2260266414	0.02003353424
e	0.00403276702	0.001972308972	0.009507678188	0.02872047696	0.535235238	0.294232944	0.12629857828
t	0.010767504842	0.00444842184	0.01867308385	0.04113817458	0.23166067	0.508312126	0.185000018
t	0.0032289747835	0.0021465476406	0.0094243691846	0.0141328723	0.0447749796	0.767018536	0.1592737296
ù	0.00505195851112	0.0151039464707	0.0303753435106	0.015060205026	0.05485831322	0.61630427	0.2632459518
</S>	0.0023663579402	0.005047445194	0.0066397229828	0.00278760112	0.0415705154	0.513535734	0.4280526128
