 	se	si	era	vestita	la	mia	figlia	l'	avessi	portata	alla	chiesa	</S>
a	0.899951186	0.0856071464	0.01195725032	0.000499701256	0.00045253421764	0.00010377199226	0.000100596924556	8.6977508086e-05	0.000323329708536	0.000371630896339	0.000193704365479	0.000186321436082	0.00016583580485
n	0.199358078	0.423327425	0.235610739	0.01204849492	0.002032724259	0.00130373310808	0.00152975997024	0.000581057795848	0.00227943980127	0.0013448802389	0.00389017158518	0.00823621378922	0.108457286197
ì	0.010519657154	0.41171757	0.5584762668	0.0103975668	0.00255658704	0.000546421772	0.0003629269036	7.74976998e-05	0.00032148950912	0.000339519608556	0.000275312312783	0.00253959323685	0.00186957683314
c	0.011254733734	0.4524951784	0.5018448	0.02206581316	0.003718453709	0.0008573991318	0.0007535446146	0.00053511882461	0.000233226270921	0.000152380875998	0.000652970367272	0.00278528696776	0.00265111381863
h	0.04875356816	0.482499928	0.342615614	0.023278342	0.042649844276	0.010031290517	0.003397636868	0.0251406579994	0.0153739748111	0.000777746159044	5.1801158476e-05	0.00472592494648	0.000703632613317
a	0.03983449966	0.36265404	0.4166853	0.0709192508	0.06290140065	0.0091450669792	0.00548190284788	0.00942518087221	0.00532375683419	0.000616026571525	0.0102794629243	0.00627455185854	0.000459540469388
n	0.008078307428	0.1205746698	0.4550949214	0.198187478	0.19114640564	0.012783856548	0.0035113431656	0.001388522438	0.00466246229824	0.000910345746532	0.000849626453209	0.00278484457849	2.7197056352e-05
d	0.0116277689	0.046836047	0.4808932482	0.164502489	0.16825512072	0.03390781902	0.003676772734	0.0011592278736	0.0038225216209	0.00569264537514	0.0003210829755	0.0790007204866	0.00030451334341
ì	0.0480623095	0.13202450486	0.16469929356	0.29087914	0.2409325868	0.0480861758	0.01425760396	0.01731692082	0.0181732085734	0.001374203148	0.0036229182452	0.0196020993039	0.00096905459896
s	0.000842380012	0.00490464608	0.04537150182	0.57070782	0.310624297	0.0537721337	0.007988575056	0.00171688951636	0.00050289984376	0.000261384002234	0.000620541417911	0.00264429223885	4.2624901894e-05
o	0.01678865375	0.021169702	0.1678020878	0.412142926	0.2484420846	0.1024683348	0.01187142134	0.00356701992	0.0025013407542	0.0033352221508	0.0011578091017	0.00781699952046	0.00093639812996
n	0.010418310111	0.00672251641	0.009146115904	0.27601015056	0.42141696	0.2248879248	0.0384794678	0.005299901894	0.002045778287	0.0010257211478	0.0011144106931	0.00313784908569	0.000294894257
t	0.0072334337	0.009213811464	0.0273018732	0.2910241694	0.419710786	0.1592974678	0.0140459064	0.002596429922	0.007026171488	0.008011000184	0.0002989111212	0.0532877867324	0.000952254163
a	0.010031890572	0.003084070844	0.01265631494	0.159968911	0.425036802	0.249974206	0.0356802372	0.02139231566	0.04932425231	0.0016943324356	0.00449594449168	0.0258434697162	0.000817279438466
