 	mi	si	gonfiò	il	dito	</S>
m	0.841957692	0.078610189	0.07468726935	0.00274485735348	0.0015521381636	0.0004478603432
u	0.0635737471	0.4643820172	0.2064445404	0.073387359814	0.104217749933	0.0879946301183
b	0.09580739046	0.381334532	0.447684116	0.025520577048	0.029375540228	0.0202778772766
r	0.01774738686	0.395694476	0.50947793	0.03428708244	0.032275346808	0.01051776864
i	0.04401776787	0.5697521302	0.3217732792	0.04965181362	0.010735824652	0.00406918434092
s	0.03480514884	0.1260697252	0.794433248	0.0352433566	0.007919807012	0.001528729476
t	0.00433770784	0.126580683	0.578161944	0.192278079	0.07925831536	0.0193832652
ì	0.0081371991752	0.08500724214	0.475663782	0.2508693846	0.13842683816	0.041895541888
o	0.008770809796	0.04431562872	0.55105487	0.3575225992	0.02634384704	0.01199227061
d	0.011560649874	0.01784062306	0.07633743148	0.486916518	0.38228719134	0.0250575841
à	0.0048870155472	0.004841107612	0.0507951676	0.58440668	0.27065655488	0.08441345912
t	0.012286965472	0.008272281314	0.0254407997	0.745646718	0.1592407766	0.04911245922
t	0.0013900618406	0.0028367499008	0.01602080474	0.433291138	0.479442694	0.067018529575
i	0.0490991812048	0.0047823793862	0.026614064796	0.2170289796	0.3427091272	0.3597662893
l	0.0109211356	0.00638300657	0.017498629436	0.14601828472	0.583487348	0.23569163
o	0.0035959203131	0.002142258893	0.015363364506	0.2864437365	0.478292074	0.2141626478
</S>	0.148701872298	0.031035263594	0.023545631972	0.0757622768	0.298095461	0.422859494
