 	qualcuno	al	telefono	vuole	sapere	dell'	Anna	</S>
k	0.919236124	0.074699449512	0.003966219792	0.0010011136716	0.00022933317224	0.00026118887172	0.000251302134368	0.000355323060216
a	0.605929756	0.22909124814	0.13014813912	0.011139456118	0.0036903626944	0.00850423078724	0.00188994744662	0.00960686533241
n	0.89711638	0.0950413375	0.00630934728	0.000587909944	0.0005932802184	0.000126847733797	0.000144520585294	8.039478888e-05
è	0.4681459686	0.469134854	0.0428534816	0.00886075874	0.0011565297252	0.0026013650308	0.00416089065	0.00308616471964
n	0.454632794	0.5145686346	0.02936419668	0.001157611808	0.0001704201282	3.8617174272e-05	5.0223307032e-05	1.7470890206e-05
a	0.4737875526	0.4027657754	0.09113350146	0.0183457996	0.001689719356	0.000258092888	0.00222974846038	0.00978980554348
s	0.0375636376	0.850523308	0.0910399466	0.015138554454	0.0019069305802	0.0030973014196	0.00053200711716	0.00019832836154
t	0.081941070586	0.609283436	0.238959772	0.0387981131	0.002860561234	0.0011068250144	0.019436379439	0.00761383952326
o	0.013012494864	0.56682328	0.35401111652	0.04389409058	0.00857436664	0.0014307921586	0.0119337652697	0.000320079312458
t	0.0218597008	0.420019878	0.52180355	0.02810311392	0.005669619456	0.0010543943212	0.000577928922224	0.000911826512966
e	0.033438908024	0.1815602148	0.586516204	0.1553706212	0.0083979081	0.003090692776	0.0209383780284	0.0106870718366
l	0.012950458648	0.0630180944	0.792188668	0.112449519	0.0072320983128	0.0006905432652	0.00061217419162	0.0108584440001
è	0.004029364346	0.0515028272	0.673654882	0.239106316	0.01389930738	0.004115231476	0.0097571117532	0.00393496607656
f	0.00302351198	0.01396813988	0.72791596	0.23322372	0.01761612924	0.00252955058	0.00118811124122	0.000534870107343
o	0.0067751448112	0.02756268516	0.515357378	0.385186584	0.0389571366	0.003545736553	0.010551597013	0.0120637039478
n	0.00752957064	0.018667023352	0.2832276468	0.50214992	0.1327962388	0.04496749958	0.0076807297746	0.0029813640736
o	0.0025872287692	0.0071260666816	0.2900445478	0.567152302	0.0893269094	0.012091323926	0.02739194989	0.004279678706
t	0.00223933677	0.0059777456008	0.111539183	0.594034426	0.2310268996	0.0363823538	0.0125085450698	0.0062914762664
è	0.00102770255254	0.0013171762468	0.1206735787	0.655645788	0.16290012	0.02444147693	0.028959910226	0.0050342470886
l	0.001991918624	0.001045739886	0.05509255616	0.491143386	0.352352456	0.0898042785	0.006522889262	0.00204678619069
i	0.001423376735	0.0013044155466	0.0799563912	0.50967615	0.346903392	0.020300969572	0.027940313534	0.0124949855786
n	0.003485672162	0.0071269498002	0.017115157664	0.1264174934	0.548456986	0.26481506	0.024238263792	0.008344410792
a	0.0037021228334	0.00144062212644	0.025068170734	0.245015892	0.546227374	0.09682034776	0.068646341	0.0130791264
t	0.001523380358	0.0030108323744	0.00703962525	0.0707930884	0.33326084	0.505820652	0.06546837944	0.013083235646
s	0.0017495484898	0.0006122994348	0.0090760733434	0.089528095	0.479991578	0.2462269264	0.1409210394	0.03189448366
è	0.00368743075744	0.000977106309148	0.0050133910386	0.05148428434	0.33529747	0.392441434	0.07065540006	0.14044349434
r	0.000362149754	0.00027725819546	0.001204332376	0.02090653496	0.31886418	0.576717398	0.04856924774	0.03309891708
i	0.001816811616	0.0007789456666	0.008426804624	0.0390443816	0.444639378	0.2057230964	0.26614934	0.03342122556
à	0.00290650144	0.0069544594272	0.006431655474	0.01238069612	0.104238121	0.618847588	0.12838996232	0.1198510432
t	0.0021785145712	0.003022140964	0.0031430331032	0.007858931424	0.04943845008	0.513125646	0.254919758	0.1663135259
t	0.001092972437	0.000446009326714	0.0017206865046	0.00536863056	0.0467815338	0.2206947828	0.66862521	0.05527013578
i	0.00216470423616	0.00553379104678	0.0108233595933	0.0197985590025	0.12881880372	0.32166934	0.3324081218	0.1787833166
n	0.000475643546	0.001601345254	0.00202766218	0.00573483658	0.02585602238	0.27293916	0.179275894	0.5120894218
A	0.0012692733974	0.0006653222931	0.00204368381008	0.000832770705	0.0110943177	0.04856688952	0.85024139	0.085286393
n	0.001895320326	0.000798168994	0.00169182737	0.00311639573	0.01200416708	0.1393718848	0.572971256	0.2681510026
n	0.0005680020186	0.00123312529744	0.002806307938	0.001114581704	0.00519353492	0.04545316366	0.692181504	0.2514497776
a	0.0057021756189	0.00737276676349	0.00132846102041	0.0104368148179	0.028202721806	0.166748476397	0.25212276	0.528085852
</S>	0.00047871353	0.00479776766	0.003005984344	0.007613022312	0.018023180692	0.13940077644	0.1141065188	0.7125740148
