 	vogliono	girate	</S>
t	0.95239894	0.035542740104	0.012058327626
è	0.868538932	0.068626376786	0.062834669902
l	0.969862682	0.01788455694	0.012252785536
u	0.8553248	0.09773861751	0.046936589077
n	0.596077526	0.301337585	0.10258489332
e	0.535722674	0.372493656	0.0917836886
v	0.2110042918	0.6375712466	0.15142449074
o	0.1203168152	0.589890974	0.289792191
t	0.09031045788	0.61798958	0.2916999864
i	0.10342884278	0.5119386008	0.3846325044
m	0.03651322324	0.57551471	0.3879720724
m	0.01288936636	0.691840398	0.2952702268
è	0.04479464596	0.5753751904	0.37983017148
n	0.0524882189	0.3232944292	0.624217356
e	0.0213300113	0.904154992	0.0745150062
</S>	0.09852579798	0.109422382	0.792051816
