 	ho	messo	uno	specchio	sul	muro	</S>
è	0.965962298	0.0315169108	0.001199799614	0.001005470605	7.78760619e-05	7.4578252152e-05	0.00016301547664
v	0.3376775198	0.453588528	0.204752159624	0.0029958091	0.0001472183364	0.00019155427766	0.00064723148201
a	0.4158979838	0.393841655	0.17215576386	0.0084208134	0.000292455948	0.0017615195104	0.00762977262342
l	0.06716964352	0.68474793	0.20182801514	0.031249089664	0.00939968595348	0.0042525963436	0.0013530084842
a	0.02070198626	0.762657716	0.18994219988	0.01783675822	0.000609216904	0.0046330998712	0.003619030523
è	0.049681237648	0.67989628	0.1113367164	0.140720088622	0.0100193850213	0.00434853281484	0.00399779553281
n	0.0149101602	0.489675172	0.235122522	0.2419091537	0.009046031652	0.003701355766	0.00563565357
a	0.02954737412	0.3082088396	0.242770061	0.3892639416	0.00868429968	0.012709111628	0.008816346942
n	0.10163123156	0.0754523102	0.297528178	0.4036427292	0.06152295828	0.0523136482	0.00790890182
j	0.04165857034	0.02748781634	0.2711706077	0.59040039	0.0199655878	0.0438693331	0.00544763578
a	0.08656835508	0.03995016818	0.3252163974	0.328037509	0.1490421096	0.03823356274	0.032951878084
l	0.017248230748	0.016806515604	0.212724607	0.473225158	0.2195274768	0.03970105272	0.02076694098
ì	0.01340794988	0.027719515844	0.0791069225	0.546788516	0.191707071	0.08361693846	0.05765308958
s	0.012690658884	0.004762614847	0.075566668936	0.26768061554	0.579265982	0.0441496298	0.01588386568
t	0.002571238006	0.004555294194	0.01577233447	0.2847007732	0.484882132	0.1181736492	0.0893445498716
o	0.0212883148179	0.00420115344622	0.007716056764	0.228215756572	0.4817884508	0.13716573866	0.11962452103
t	0.015492971496	0.005098989252	0.023836596732	0.123578182578	0.3667266068	0.2822974246	0.1829692124
ì	0.0024907707702	0.0055459555938	0.003262148532	0.105249785216	0.475868832	0.30388252458	0.10369998784
c	0.005561546926	0.000871859096	0.002228678412	0.070446814216	0.205909647	0.594081304	0.1209001622
h	0.0048598855051	0.0021963141972	0.007719848368	0.118885238232	0.327766948	0.411530309	0.1270414432
o	0.020858319716	0.0102735834628	0.002082469716	0.06721119558	0.3137224024	0.400095237	0.18575682556
</S>	0.00403339828	0.00870456083	0.03524411635	0.02807815002	0.09381183004	0.259224814	0.5709031289
