 	dove	aveva	per	stare	non	aveva	</S>
p	0.985325834	0.011150769338	0.0021147238604	0.00113446776766	2.774543716e-05	0.00010354602088	0.000142955640372
u	0.827284532	0.1341777888	0.004416538836	0.00259682672392	0.0015753712034	0.00943228247367	0.0205166749619
ì	0.170136028	0.76023578	0.0358558762	0.01020813858	0.0062973601074	0.00322072446364	0.0140460777144
c	0.018620266	0.87291648	0.0812016702	0.004114856844	0.006752762878	0.0025818069302	0.0138121884824
h	0.02414704	0.661301206	0.1289418126	0.0268089246	0.0092830388692	0.08828653534	0.0612314158613
e	0.11955207102	0.605573268	0.186179018	0.041177563128	0.0162365000458	0.027912153292	0.0033694698716
n	0.016011201894	0.230658406	0.622982698	0.11647441064	0.00706161714	0.004490242828	0.002321419678
a	0.022298372776	0.1325459416	0.559888702	0.19523736386	0.0131192474126	0.070828745604	0.0060816605256
s	0.0179124906072	0.03063007028	0.398786968	0.4718071127	0.0542095362	0.021088453054	0.005565407008
t	0.0039306315414	0.0165081362	0.42497454	0.358525621	0.03664494056	0.11975623786	0.03965989773
a	0.01102346557	0.01337301926	0.416779554	0.333850376	0.05420304556	0.1376540516	0.03311649884
s	0.0052197267432	0.012740533926	0.2141677404	0.435323379	0.1813977852	0.091240706	0.059910156
ì	0.0033861856882	0.0155857279	0.174904718	0.308814788	0.1239649576	0.24425734566	0.1290863029
e	0.006596325712	0.005820622536	0.02317434924	0.209034658	0.488500584	0.153185344	0.11368814284
n	0.02222904918	0.07108005232	0.040965283706	0.07287082726	0.26399789032	0.382077238	0.14677963834
ì	0.00364631983536	0.004534401982	0.0187697401	0.190321690814	0.04146395966	0.677547679	0.0637162317
c	0.005385751562	0.010127836808	0.003713370424	0.01128727822	0.0943672956	0.72764709	0.14747138312
h	0.0156362955596	0.0069329148588	0.018462306296	0.102826056694	0.1152728738	0.594707996	0.1461615422
e	0.0192607152351	0.0017290219334	0.0058849197453	0.025399615156	0.096483982052	0.6725873	0.17865445548
</S>	0.006467522854	0.008415062598	0.0030698950334	0.016929940756	0.02839150734	0.1884785816	0.748247474
