 	non	vuole	mangiato	mangiato	tutta	una	volta	</S>
e	0.88390292	0.1130043475	0.001991247448	0.000231411278	5.557212682e-05	0.0001129901671	0.00010365721128	0.000597858023686
t	0.236724498	0.609681856	0.022541417	0.0109714684342	0.00242096060702	0.0017617308874	0.00572263454061	0.110175402475
è	0.1042455395	0.844902214	0.0351324714	0.0066512296	0.0004642966108	0.0009348298807	0.00140888890882	0.00626055786704
l	0.01768574368	0.949266288	0.03036833154	0.001691292936	0.00030140868706	0.000209306531714	0.000128442107464	0.000349183865502
i	0.02837883912	0.874661386	0.0740812032	0.00763764017	0.0006159740408	0.000530969573356	0.00106714903862	0.0130268765126
f	0.02256789544	0.48522314	0.461661796	0.025678953	0.000789417946	0.0033354891146	0.00029829484524	0.00044500410752
a	0.00536011008	0.438042076	0.485127374	0.0547236074	0.005449259638	0.0018445758956	0.0055725831778	0.00388042028608
m	0.00855616328	0.0693424696	0.87639146	0.0404335198	0.00298982543566	0.00145649619632	0.000251068471152	0.000578986027046
o	0.00890042402	0.1329892308	0.708063386	0.1138091622	0.0111411184	0.002611535036	0.009196134238	0.01328899238
n	0.0097364384	0.02334024408	0.762327038	0.1491254172	0.014410127491	0.00878086414414	0.00432450747578	0.0279553842407
o	0.0170410766	0.03338758546	0.524211266	0.350703638	0.0353463635	0.0064376968	0.02442017487	0.0084521733
f	0.007542359124	0.0087497037	0.3275794414	0.590193794	0.04293117712	0.006228479074	0.00175787310122	0.0150171787568
a	0.004771633224	0.01374242982	0.287306198	0.570493014	0.0679065761	0.00979062172	0.02637721106	0.0196122833
m	0.026172559702	0.003548545356	0.08875529112	0.79899165	0.070839193	0.006559390144	0.0016400643064	0.00349330484304
è	0.006108591926	0.0053434416	0.07786082954	0.612172362	0.232261086	0.01334574488	0.021102864	0.03180508614
n	0.0416317122406	0.0041071337232	0.02331946032	0.659900188	0.248991993	0.0173482525	0.0022762460474	0.002425019712
o	0.0254727754586	0.012781065794	0.04293361926	0.51769034	0.267493608	0.027737102	0.0311270714	0.07476440962
o	0.01295300004	0.0073497211368	0.018894472058	0.1829615144	0.544412334	0.19351927	0.02971512718	0.01019457214
l	0.01834457926	0.0070800850926	0.008300778631	0.063695668726	0.533615122	0.292334962	0.04216951344	0.03445932848
i	0.0030571392432	0.0016726955484	0.005596266949	0.06140868926	0.535722406	0.209908847	0.1282606828	0.0543732485
m	0.01907329483	0.010774669568	0.0120445120632	0.054855723328	0.326293298	0.456115236	0.084624989	0.03621825292
i	0.002145211678	0.0007907156016	0.0020721603434	0.0123872876	0.50061505	0.21357904	0.163738328	0.1046721834
a	0.0098002098832	0.005511376484	0.008312660083	0.02283927569	0.1610862822	0.481277728	0.21425728	0.09691520034
f	0.0077684389	0.002669313534	0.002684243866	0.004385984258	0.0386135854	0.46842795	0.316642202	0.1588082648
o	0.0020395522323	0.0009331884524	0.0028482534789	0.007013369408	0.11205830588	0.274031708	0.453626768	0.14744880034
r	0.008444993546	0.0043163840706	0.006809034417	0.01388241896	0.02393292968	0.320621652	0.43660263	0.18538996726
à	0.00265975785372	0.0010962940678	0.0030482279708	0.0049094703746	0.05560251552	0.148968431	0.587718736	0.1959965642
</S>	0.0070364253666	0.001550927966	0.0020275058448	0.003459436494	0.00591959008	0.1315023712	0.697025018	0.15147874054
