 	non	mi	aspetti	non	vengo	</S>
m	0.630481872	0.3680453494	0.000800143414	0.0002517816368	0.00016119703678	0.00025964955572
ì	0.06405440306	0.14260015998	0.734291684	0.011814301348	0.029638054774	0.0176014017684
m	0.353306786	0.6274561581	0.00727492318	0.002744621292	0.002441194578	0.0067762964486
e	0.1168840232	0.284055762352	0.480715322	0.03448075738	0.0764885409	0.0073756288676
m	0.17387009114	0.617977652	0.0802003042	0.0566731686	0.0606847590146	0.010593985508
ì	0.010279098636	0.0285018413	0.83015012	0.060412900924	0.064172179514	0.006483833588
n	0.025815363792	0.2142574302	0.1675378748	0.464559672	0.120773510792	0.0070561665594
i	0.16877338334	0.26130525636	0.2787113292	0.1519265868	0.10843594376	0.03084750041
e	0.039988945578	0.12852020991	0.03817615712	0.547915099	0.22935752106	0.0160420335
n	0.02411855742	0.021696762342	0.0957597225	0.490969192	0.2293936048	0.1380621176
è	0.0053602727396	0.00517790864	0.1488829464	0.23861739998	0.55379933	0.0481621362
r	0.0279941681	0.027516195592	0.00396370986	0.3575428544	0.5504982868	0.03248474674
k	0.00205017492336	0.002741163659	0.105931497474	0.0315193935	0.767894128	0.0898636024
o	0.0296673451972	0.102847062655	0.02872668828	0.05040329768	0.550019418	0.238336194796
m	0.014139461244	0.016971146026	0.00541241574	0.02768704184	0.563094812	0.3726951442
e	0.00899922306274	0.0051162843594	0.043802076934	0.0532781876	0.523858176	0.3649460476
</S>	0.231978008725	0.03042559667	0.0079365934498	0.01974047868	0.294259746	0.4156595713
