 	se	si	era	vestito	la	figlia	l'	avessi	portata	alla	chiesa	</S>
a	0.886548096	0.0871407968	0.020190207686	0.000979752521	0.0009102461512	0.0003129346314	0.000235252019259	0.00101842879028	0.00122958543166	0.000502888851412	0.000510314415975	0.000421540760559
n	0.201848788	0.402031358	0.2394720598	0.005195145054	0.0047573530454	0.0020688044262	0.0007393689928	0.00268693028208	0.00104868874314	0.00358171339446	0.00566748015122	0.130902354854
ì	0.010598487108	0.3592015344	0.59240328	0.02309838506	0.005789006592	0.000653334978	0.0001472111314	0.0006112189414	0.00064766695242	0.000569467962872	0.00382389707521	0.00245653103443
c	0.011718132494	0.3847403674	0.564121646	0.0087469073	0.015814809914	0.0018966896504	0.000841848440028	0.000366650567352	0.000311525485285	0.00136065141377	0.00702665220041	0.00305410297493
h	0.0501153935	0.439133588	0.3756733646	0.0418972676	0.03647345848	0.0038256983368	0.0272374935062	0.0165239781859	0.00089272975504	6.050869284e-05	0.00750465539413	0.00066182649217
a	0.03490033194	0.3245326066	0.410035292	0.13500807494	0.062103363432	0.004777218067	0.00699961463259	0.00674527741794	0.000848817027454	0.00732614756158	0.00610440776108	0.00061884225883
n	0.00595011226	0.06507186522	0.3917997642	0.4228790592	0.08774802886	0.0141837908268	0.0022902061092	0.00359465044402	0.0010615877041	0.00119430131791	0.00420700004077	1.959805351e-05
d	0.007142325486	0.01307208174	0.424536416	0.40473245732	0.08234522772	0.00429837776	0.0015717253526	0.0030962979176	0.00467805380646	0.000368187768454	0.053862780843	0.000296045975428
ì	0.0647399466	0.02618833862	0.1097169626	0.4248806311	0.2329979714	0.03962971804	0.03826517862	0.030721573916	0.002203325586	0.0072623732926	0.0217000431652	0.00169396762969
s	0.003069578472	0.01967797982	0.118228346178	0.544914628	0.260741926	0.04464279034	0.0050427774436	0.0005517226708	0.0002834633903	0.00075182921448	0.00206297437548	3.200299536e-05
o	0.0280512552	0.02267820736	0.149768788	0.4153739478	0.306341628	0.0348718092	0.009899587604	0.004195720103	0.0043612605866	0.0032014696322	0.0193927693328	0.00186353213841
n	0.0133754105434	0.008743170064	0.01071907193	0.1513322526	0.630551232	0.1514595234	0.02064783896	0.003450507347	0.001674142595	0.00278011677604	0.00476670811342	0.00049997293966
t	0.00655531598	0.010322675568	0.01886348246	0.226290474	0.573915338	0.0746225674	0.0103308139	0.01293791728	0.0111768340052	0.0005228007604	0.0535665760428	0.0008952299634
a	0.014294930406	0.0024999775332	0.006835423496	0.048182783	0.573304934	0.1784499512	0.05071803934	0.056330467638	0.003393512882	0.0143343111811	0.0490253586547	0.00263031007036
i	0.0043084430088	0.00274558669	0.001144645022	0.0184810874	0.57565285	0.327147988	0.05567554374	0.004260084566	0.00165492190116	0.00288074722659	0.00592675515859	0.000121347983792
k	0.01876271918	0.004906068468	0.006036378044	0.01329478026	0.327800818	0.422084674	0.1257478244	0.037186853504	0.012679625744	0.0174981002872	0.0076579341304	0.00634423717627
i	0.022907444314	0.00688582667	0.00843570002	0.01756213464	0.25105403	0.483191188	0.0760348432	0.05288425396	0.0397632356	0.001728267042	0.0233397176216	0.0162134107909
a	0.0497613633052	0.0046917857172	0.002540946478	0.002623323774	0.18418123	0.574362712	0.1376719496	0.027740499212	0.005270880659	0.0025936954132	0.00577685976714	0.00278478618452
t	0.009323293596	0.00208004281	0.002311574966	0.001381427836	0.02888251628	0.552310464	0.232934954	0.08555739414	0.043348352386	0.0211009407658	0.0152320102298	0.005537011925
è	0.011271013009	0.0022619351618	0.0019757881796	0.002244110888	0.0509371546	0.543256006	0.1402493644	0.13682971766	0.07823952514	0.005137528996	0.015114875287	0.0124829922434
r	0.0269527489692	0.001539479443	0.0025820193834	0.00087378832	0.02285362628	0.528145884	0.197540398	0.16036396368	0.04240839328	0.005611679384	0.00956453908812	0.00156350914905
a	0.0005663285594	0.000850627386	0.0014976037652	0.002472891432	0.05144635008	0.59299202	0.18027486	0.08009800424	0.0751338502	0.003845773956	0.004361532114	0.00646017050471
i	0.002554594392	0.003224724842	0.0011804683416	0.0025328578954	0.01229544842	0.2206638334	0.430401514	0.182416358	0.0971266316	0.0283201268	0.014330077332	0.004953415434
n	0.017038962988	0.00335674693	0.003161733082	0.001205634457	0.001862805432	0.0670286082	0.146041039	0.364322136	0.288991956	0.0541957538	0.033536950546	0.019257672226
ì	0.0102952613874	0.00422947836724	0.00383066438014	0.0063837839408	0.009027088218	0.0887553706	0.1084927012	0.3151197578	0.363759264	0.02920741694	0.021340929666	0.0395582825712
c	0.003087338758	0.0013194494592	0.0025210164768	0.0008186313734	0.002931399808	0.02870593704	0.0547684892	0.5285302414	0.296379532	0.0503455412	0.016903520808	0.0136889149188
h	0.00535062221216	0.00599840121408	0.0077528696736	0.0041729136994	0.016324656434	0.0865167478	0.0896753706	0.2303073984	0.483804622	0.0360755372	0.01367631942	0.020344549308
a	0.00324911275974	0.00098494656466	0.00163384407	0.0015316386674	0.002764539064	0.0925433508	0.10455257	0.26088376	0.3954429252	0.072026161	0.029933497378	0.0344536845074
p	0.001326480628	0.000886422912	0.0004665512802	0.0007898778584	0.002730085698	0.03532842342	0.0255306036	0.137159697	0.468440964	0.274364822	0.0268418156	0.02613428332
à	0.00453057420452	0.00189138513626	0.00233889286172	0.0058109008336	0.0053855258214	0.025453036814	0.0267401725	0.101303957	0.507925876	0.1204739564	0.06642307414	0.13172265996
r	0.000796112568	0.0007618125688	0.000984983946	0.000546072322	0.001133189064	0.00723496586	0.00826367344	0.22297264352	0.32864792	0.208003068	0.1226020686	0.09805349446
o	0.000878047578	0.00095408166	0.002908840704	0.001888700277	0.0012189695132	0.0219183248	0.04266333202	0.107394784	0.495873906	0.1796474694	0.1035513384	0.04110219764
n	0.002175339216	0.00477309528	0.00160401443	0.003871493812	0.00474779278	0.01363954312	0.0268962494	0.0302984472	0.1006090413	0.4409464572	0.21101702688	0.1594214828
t	0.0031886755628	0.0021375156768	0.0065672792062	0.00424021775288	0.0026638797266	0.011674332426	0.012573671964	0.0280920839	0.369644884	0.279516536	0.2074053835	0.072295549
a	0.0042871940664	0.00088488713014	0.00168133718972	0.00086803458746	0.0025896445151	0.008048015165	0.008816928372	0.17391241434	0.1368675974	0.369335202	0.162271935	0.130436840152
s	0.0026940009752	0.0017921164652	0.0025920028328	0.0023132260688	0.007599922624	0.028924591936	0.018487336956	0.0305386242	0.0807479552	0.318566026	0.26409006181	0.2416541232
t	0.0046154114516	0.00369160487948	0.0116113028939	0.00200182916758	0.00142994404852	0.0015566552972	0.00260501972	0.00841051494	0.0962478054	0.368245244	0.3116928	0.187891882
i	0.00566015265728	0.00232963088768	0.0008687314605	0.0007535003084	0.00247007681174	0.0065210712868	0.0035249314352	0.0241980336	0.061613958	0.483807422	0.26183370322	0.14641874926
n	0.003302461917	0.0021500893366	0.0032802895614	0.0027763190058	0.0065793259427	0.0190194408292	0.0216585486174	0.0171677312	0.0362204929	0.1709726632	0.3367193792	0.380153265
a	0.0050828669837	0.00463668232728	0.0176178235992	0.00350332812104	0.00465063311008	0.004917851842	0.005717416092	0.003216087712	0.03860244476	0.30101976	0.348313336	0.2627217868
g	0.0027999588444	0.0029906965526	0.0020711524816	0.0018568737588	0.0037107244999	0.0065477978416	0.004923413414	0.007207510764	0.01132993286	0.1753210972	0.6250202852	0.15622056856
l	0.0028949448921	0.0026576839289	0.00455550698892	0.0018694615721	0.00740877036874	0.0051657249638	0.006941755416	0.002066504122	0.0256271543	0.1823659536	0.460300245	0.298146276
i	0.0031035617197	0.00378294543854	0.00395977442734	0.00271384399636	0.00718421239152	0.0116807608606	0.005592733056	0.0089763782914	0.05783208558	0.238936431	0.437412743974	0.2188245566
s	0.00357889690628	0.0029548811006	0.00188037322402	0.00186460584506	0.00416951379507	0.0182460173235	0.0145039852365	0.006587222862	0.01821033031	0.154818228	0.40607285188	0.3671130732
ì	0.00278018271016	0.00207747255747	0.0139064622185	0.00186861902634	0.00190273878834	0.0016980071865	0.00111753838	0.002630531672	0.04874455374	0.1752592858	0.53857856	0.2094360598
a	0.0016455620876	0.00311472496168	0.0015292958708	0.00192354145	0.0247756711739	0.0262339897646	0.020650590296	0.003810404424	0.031462551046	0.158711601	0.5042371172	0.2219049316
</S>	0.036815351652	0.007805990172	0.00333000386	0.002939770642	0.0110733207395	0.025278159732	0.0303327249144	0.0206655864302	0.0273851485064	0.05955374624	0.193876901	0.5809433
