 	i	bambini	non	lo	possiamo	non	possono	mangiare	il	gelato	prima	che	mangiano	</S>
a	0.865560394	0.13220408164	0.0008666516988	0.00060679998494	0.0001921409502	3.6665271288e-05	3.933134416e-05	6.7543732118e-05	3.39074882262e-05	0.000148178607694	4.29097444007e-05	6.51334325534e-05	8.1076359752e-05	5.5137839655e-05
p	0.3542433154	0.5868656352	0.00654205054	0.00840688148154	0.00466679359468	0.00349930793962	0.00758256288896	0.00517923337195	0.002789435112	0.0024099600453	0.00108104728683	0.00216440438202	0.0114337218272	0.00313567380842
e	0.3136969707	0.598424364	0.062126875124	0.0173540406056	0.0017546431306	0.00099822865496	0.0022088810764	0.00051003738724	0.00017373586954	0.000774200036956	3.653692244e-05	6.27756443592e-05	0.0003856469522	0.00149305754215
t	0.18801279038	0.755006886	0.02833573	0.022350212425	0.001093330335	0.00065002985748	0.00192284020934	0.000373531004501	0.000638568526043	0.00013813549462	0.000108109197736	0.000191334451928	0.000264079310848	0.000914418580927
à	0.161808181474	0.74216814	0.034076714914	0.040515151822	0.00912554192634	0.00342869629788	0.0041725299572	0.00110769815512	0.000156566039522	0.00214089478425	7.2149358544e-05	0.000103596303868	0.000507752290499	0.000616376399378
c	0.047671526102	0.699104538	0.21881916266	0.032374471776	0.0015790116	0.0003024838494	3.96238362e-05	4.71688490212e-05	9.67416874106e-06	2.04280851231e-05	4.01974736903e-06	4.97251490306e-06	1.32950368849e-05	9.61849288898e-06
i	0.037022504	0.764465184	0.0418598265	0.0136457942	0.0069602731728	0.0097564663686	0.0041492505992	0.00950025056016	0.000773612595314	0.00172279934803	0.000219851483746	0.00048003295873	0.0089322841158	0.100511858664
a	0.094299409256	0.2601437812	0.376180946	0.1880884172	0.0697599022	0.003608320194	0.004765422222	0.001103664846	0.00053264883852	0.00021651141392	0.00058752468354	0.00030086093251	0.000231979178555	0.00018064215696
e	0.005988952326	0.0559150278	0.43552650894	0.422459729	0.03564106534	0.0135120611	0.00643884146	0.005423566629	0.00304878601137	0.00044246646054	0.00174580638799	0.00255489584021	0.00518537495721	0.00611691377602
t	0.007021017692	0.0259387513	0.32206589954	0.432258446	0.102834037	0.0303709299	0.0205563476	0.00909415593	0.00686771427208	0.00100352995292	0.00616724348504	0.0102762818063	0.0100487468696	0.0154968933846
o	0.00937732392	0.0408495822	0.04830684566	0.512902018	0.1865245	0.02673030736	0.06001374808	0.02306472398	0.0051344851816	0.0602513121186	0.000889628625	0.00178935284972	0.0169922327008	0.00717390117042
s	0.0161764062574	0.01446426326	0.0986098326	0.406396336	0.371981376	0.0417554426	0.02960308962	0.0093759895	0.00205265021527	0.000759649540732	0.0010967303362	0.00201792101453	0.00128615490279	0.00442414544934
ò	0.0036712858	0.013189667754	0.02916578768	0.274035814	0.422626162	0.0572327704	0.0995580124	0.03517480526	0.01045792481	0.0341690673106	0.0023626117568	0.00148188639204	0.00976399950054	0.00711016785094
z	0.0045644774962	0.005647000876	0.0136170689	0.1953401752	0.674975846	0.0482048419	0.0442841498	0.009319798365	0.00161660663184	0.00111786040943	0.000270769302314	0.000218796545971	0.000399042984159	0.000423573997679
u	0.002941802458	0.0130328517092	0.056408338548	0.3608441208	0.2204295626	0.1143272112	0.11905510068	0.04113301776	0.0060876131516	0.0445896556892	0.0023909683868	0.00064832074294	0.00573878766104	0.0123726522431
m	0.0128751123606	0.0069067925728	0.06794996079	0.054103112	0.5420136814	0.1482027286	0.1285043234	0.028213529	0.0046856419	0.002086699134	0.0028112510438	0.00067967897878	0.00061117201496	0.00035630272552
e	0.002135414902	0.0061374787044	0.020753138132	0.1500081392	0.226960856	0.184965375	0.2368339254	0.04654656306	0.01831843534	0.091689532826	0.004016413254	0.001141967304	0.00210076802	0.0083919886628
e	0.011888467698	0.003727607152	0.010366243864	0.0156183938	0.352407946	0.179377066	0.284201176	0.1091399104	0.011780345074	0.008564589106	0.00598276023	0.00315764574214	0.00202731517174	0.00176049871283
s	0.003588569954	0.0031594164824	0.004467217746	0.003272050768	0.1004076592	0.2541812226	0.41683078	0.108095666	0.07187437144	0.005568440506	0.019187887429	0.0040953956793	0.00367377669608	0.00159755443835
ò	0.0010255117012	0.00608928630072	0.002335376	0.00681345774	0.1012282472	0.0643921692	0.4759364	0.186760294	0.056446415	0.06180989984	0.007459355936	0.0030823889044	0.0225014724864	0.00411969830047
z	0.001648465668	0.002638233518	0.003367363631	0.002100422378	0.0947510962	0.071147619	0.510412008	0.228665618	0.05217589854	0.015855468954	0.00980485276388	0.00366890669177	0.00230987355406	0.00145420141852
u	0.00077936020148	0.00869524946566	0.003591378709	0.00903420664	0.0550309276	0.1259570802	0.3816508688	0.273192812	0.0598995402	0.0412947612	0.013498281144	0.0033357246212	0.016942161434	0.0070976143292
n	0.004435376316	0.0048920232248	0.0053931705585	0.0031284764534	0.0198050249	0.080922682	0.1818403604	0.400583104	0.1996703162	0.03829659828	0.030621940266	0.016971398052	0.0093505911992	0.00408892549024
f	0.00091889363	0.00526435413735	0.00286065162401	0.002267233074	0.01009997864	0.0452471194	0.22876996	0.402310432	0.1247662462	0.1121633612	0.0151239803	0.006162008252	0.03300852162	0.0110372710286
à	0.0309976545129	0.0760529389811	0.0070310989356	0.02662639782	0.0287889472	0.02149181124	0.275804199	0.1941968574	0.1339833016	0.067101459098	0.0902642526	0.01478377136	0.01550962756	0.0173676597212
i	0.007090269934	0.002756377564	0.002538276778	0.001745628648	0.00546533428	0.03291347204	0.1242183017	0.432198538	0.221554551	0.08946446366	0.0511315293	0.020814613844	0.0051888437	0.0029197837984
o	0.004054454654	0.0045434004476	0.00295229378928	0.00139609719288	0.00284422123	0.014114560866	0.039082992	0.2107476358	0.40196509	0.19722281222	0.09657436884	0.01496823706	0.005581501858	0.0039523605744
