 	non	ha	da	mangiare	</S>
e	0.91300767	0.07864279452	0.004869298359	0.000996670823	0.0024835592388
n	0.4714405828	0.300539912	0.0321276703	0.01712797872	0.178763897432
è	0.1330007478	0.5644917136	0.02853950884	0.205324583354	0.068643450808
c	0.0265116528	0.829376958	0.1209487804	0.01358021602	0.0095823429408
h	0.0175243474	0.454428871	0.12279970115	0.263785018	0.141462061887
i	0.045682881138	0.430071674	0.39915994	0.099055176	0.026030337882
n	0.0058870144896	0.0555907127	0.800573312	0.1138775402	0.02407142608
a	0.0103559072346	0.022064171	0.501948860939	0.3798813692	0.085749669792
f	0.01518645734	0.04980269983	0.161483967	0.638962942	0.1345639412
à	0.0046910997994	0.00707252031	0.1120260638	0.6660216	0.2101887164
i	0.016176352371	0.011160458002	0.03138763446	0.865270368	0.076005148
</S>	0.03605238304	0.109484416518	0.035569080252	0.280067514	0.5388265854
